FID,adm1_id,adm1_src,adm1_name,adm1_name1,adm1_name2,adm0_id,adm0_src,adm0_name,adm0_name1,adm0_name2,src_lvl,src_lang,src_lang1,src_lang2,src_date,src_update,src_name,src_name1,src_lic,src_url,src_grp,iso_cd,iso_2,iso_3,iso_3_grp,region3_cd,region3_nm,region2_cd,region2_nm,region1_cd,region1_nm,status_cd,status_nm,wld_date,wld_update,wld_view,wld_notes,SqKM,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,COK-20220801, , , , ,COK-20220801,COK,Cook Islands (NZ),Cook Islands,0,0, , , ,,, , , , , ,184,CK,COK,NZL,61,Polynesia,61,Polynesia,9,Oceania,5,Territory/Self-governing territory,22/08/2022 00:00:00,1/8/22 0:00,intl, ,281.30799,358.327545166,584.708679199,291.3203125,528.236083984,339.400878906,471.197723389,402.16192627,328.648498535,743.640197754,359.106536865,440.60369873,354.384368896,429.868286133,364.074615479,436.34664917,257.648864746,330.483856201,182.406906128,246.290206909,256.048736572,264.897735596,204.892562866,299.496459961
1,CPT-20220801, , , , ,CPT-20220801,CPT,Clipperton Island (Fr.),Clipperton Island,0,0, , , ,,, , , , , ,900,CP,CPT,FRA,61,Polynesia,61,Polynesia,9,Oceania,5,Territory/Self-governing territory,22/08/2022 00:00:00,1/8/22 0:00,intl, ,9.20328,171.408599854,286.373474121,289.025421143,202.195648193,371.83493042,145.0965271,188.115829468,214.557846069,242.875289917,606.912475586,278.410339355,368.840332031,704.977722168,302.076477051,171.870666504,167.680023193,244.669021606,165.941390991,178.546478271,172.517669678,148.331420898,154.464172363,194.536437988
2,FJI-20210102-1,FJI-ADM1-2392783B24185004,Central, , ,FJI-20220801,FJI,Fiji,Fiji,0,4,en, , ,1/1/07 0:00,2/1/21 0:00,Pacific Data Hub, ,Creative Commons Attribution 4.0 (CC BY 4.0),https://www.geoboundaries.org/api/current/gbOpen/FJI/ALL/,geoBoundaries,242,FJ,FJI,FJI,54,Melanesia,54,Melanesia,9,Oceania,1,State,22/08/2022 00:00:00,1/8/22 0:00,intl, ,4944.71649,464.263427734,388.563415527,337.065673828,247.948699951,265.028320312,276.903198242,278.860534668,224.706039429,334.089691162,325.965576172,282.422607422,167.609664917,418.080322266,271.345947266,399.464874268,294.355712891,300.785491943,175.526046753,260.44442749,159.425598145,262.135101318,239.646820068,169.829483032
3,FJI-20210102-2,FJI-ADM1-2392783B58557829,Eastern, , ,FJI-20220801,FJI,Fiji,Fiji,0,4,en, , ,1/1/07 0:00,2/1/21 0:00,Pacific Data Hub, ,Creative Commons Attribution 4.0 (CC BY 4.0),https://www.geoboundaries.org/api/current/gbOpen/FJI/ALL/,geoBoundaries,242,FJ,FJI,FJI,54,Melanesia,54,Melanesia,9,Oceania,1,State,22/08/2022 00:00:00,1/8/22 0:00,intl, ,1571.28828,275.26461792,479.605194092,484.984710693,339.064331055,356.815948486,360.066253662,407.982116699,370.802581787,389.01373291,633.208312988,494.102539062,349.917022705,539.00604248,404.568664551,429.021362305,276.163238525,827.878295898,495.203338623,738.865600586,294.50982666,412.930847168,417.800140381,288.185028076
4,FJI-20210102-3,FJI-ADM1-2392783B62760992,Northern, , ,FJI-20220801,FJI,Fiji,Fiji,0,4,en, , ,1/1/07 0:00,2/1/21 0:00,Pacific Data Hub, ,Creative Commons Attribution 4.0 (CC BY 4.0),https://www.geoboundaries.org/api/current/gbOpen/FJI/ALL/,geoBoundaries,242,FJ,FJI,FJI,54,Melanesia,54,Melanesia,9,Oceania,1,State,22/08/2022 00:00:00,1/8/22 0:00,intl, ,6953.16469,276.020690918,383.420684814,347.593475342,330.018096924,293.209320068,351.799926758,563.791320801,375.656280518,310.809661865,404.084075928,302.101165771,428.965179443,328.969055176,266.04675293,223.818084717,304.888305664,293.418548584,273.399291992,621.210632324,358.844787598,323.814453125,283.264801025,281.989471436
5,FJI-20210102-4,FJI-ADM1-2392783B49665477,Western, , ,FJI-20220801,FJI,Fiji,Fiji,0,4,en, , ,1/1/07 0:00,2/1/21 0:00,Pacific Data Hub, ,Creative Commons Attribution 4.0 (CC BY 4.0),https://www.geoboundaries.org/api/current/gbOpen/FJI/ALL/,geoBoundaries,242,FJ,FJI,FJI,54,Melanesia,54,Melanesia,9,Oceania,1,State,22/08/2022 00:00:00,1/8/22 0:00,intl, ,7232.08862,438.584716797,387.076385498,425.13180542,289.781768799,609.854858398,311.175811768,305.063537598,372.08770752,405.99206543,357.800170898,279.236633301,351.501922607,660.498901367,341.334228516,300.156677246,268.607910156,348.173034668,232.674942017,245.286804199,209.840209961,441.325408936,297.42364502,332.388397217
6,FSM-20210716-1,FSM-ADM1-64989084B87605857,Chuuk, , ,FSM-20220801,FSM,Micronesia (Federated States of),Micronesia (Federated States of),0,2,en, , ,1/1/19 0:00,16/07/2021 00:00:00,OCHA ROP,"Federated States of Micronesia Division of Statistics, 2010 Census of Population and Housing and Secretariat of the Pacific Community, Statistics for Development Division",Creative Commons Attribution 3.0 Intergovernmental Organisations (CC BY 3.0 IGO),https://www.geoboundaries.org/api/current/gbOpen/FSM/ALL/,geoBoundaries,583,FM,FSM,FSM,57,Micronesia,57,Micronesia,9,Oceania,1,State,22/08/2022 00:00:00,1/8/22 0:00,intl, ,122.86019,535.153930664,422.339263916,829.823486328,1118.60510254,492.697753906,632.159606934,420.542572021,574.348510742,713.009460449,502.937774658,621.282104492,540.05291748,325.924041748,541.592041016,522.276855469,368.334838867,271.516265869,250.975997925,320.291381836,460.280029297,301.592407227,264.426605225,265.588226318
7,FSM-20210716-2,FSM-ADM1-64989084B857262,Kosrae, , ,FSM-20220801,FSM,Micronesia (Federated States of),Micronesia (Federated States of),0,2,en, , ,1/1/19 0:00,16/07/2021 00:00:00,OCHA ROP,"Federated States of Micronesia Division of Statistics, 2010 Census of Population and Housing and Secretariat of the Pacific Community, Statistics for Development Division",Creative Commons Attribution 3.0 Intergovernmental Organisations (CC BY 3.0 IGO),https://www.geoboundaries.org/api/current/gbOpen/FSM/ALL/,geoBoundaries,583,FM,FSM,FSM,57,Micronesia,57,Micronesia,9,Oceania,1,State,22/08/2022 00:00:00,1/8/22 0:00,intl, ,112.36136,253.593933105,387.971588135,360.32434082,410.836151123,243.632797241,371.78302002,288.753570557,253.763671875,228.252365112,361.182983398,215.797637939,241.990936279,257.1277771,537.572265625,232.58732605,188.918716431,178.579696655,125.981201172,252.786209106,381.77142334,154.572418213,247.286407471,228.03477478
8,FSM-20210716-3,FSM-ADM1-64989084B48757476,Pohnpei, , ,FSM-20220801,FSM,Micronesia (Federated States of),Micronesia (Federated States of),0,2,en, , ,1/1/19 0:00,16/07/2021 00:00:00,OCHA ROP,"Federated States of Micronesia Division of Statistics, 2010 Census of Population and Housing and Secretariat of the Pacific Community, Statistics for Development Division",Creative Commons Attribution 3.0 Intergovernmental Organisations (CC BY 3.0 IGO),https://www.geoboundaries.org/api/current/gbOpen/FSM/ALL/,geoBoundaries,583,FM,FSM,FSM,57,Micronesia,57,Micronesia,9,Oceania,1,State,22/08/2022 00:00:00,1/8/22 0:00,intl, ,377.70545,370.965515137,531.014587402,315.488494873,371.413665771,547.787658691,350.544006348,351.221313477,375.362854004,356.544036865,332.709350586,343.837280273,338.329101562,474.608184814,680.22076416,313.736999512,387.671051025,331.556030273,361.34979248,357.596496582,393.747619629,297.815490723,160.911849976,248.401931763
9,FSM-20210716-4,FSM-ADM1-64989084B24478045,Yap, , ,FSM-20220801,FSM,Micronesia (Federated States of),Micronesia (Federated States of),0,2,en, , ,1/1/19 0:00,16/07/2021 00:00:00,OCHA ROP,"Federated States of Micronesia Division of Statistics, 2010 Census of Population and Housing and Secretariat of the Pacific Community, Statistics for Development Division",Creative Commons Attribution 3.0 Intergovernmental Organisations (CC BY 3.0 IGO),https://www.geoboundaries.org/api/current/gbOpen/FSM/ALL/,geoBoundaries,583,FM,FSM,FSM,57,Micronesia,57,Micronesia,9,Oceania,1,State,22/08/2022 00:00:00,1/8/22 0:00,intl, ,118.29311,433.669128418,594.230407715,495.141937256,457.002410889,713.874145508,417.85369873,420.501800537,441.166137695,367.252288818,649.875732422,535.099121094,643.000183105,464.194580078,507.417205811,448.633514404,865.22668457,340.785644531,493.602081299,343.103790283,584.265197754,296.258300781,408.881378174,430.676422119
