,WB_ADM0_NA,date,incomeG,SPC,UN_m49,Region,OBJECTID,FID_100,Shape_Area,lendingC,WB_ADM0_CO,ISO_A2,ISO3,Shape_Leng,pct
0,Fiji,2014-01-01,Upper middle income,1,242,East Asia & Pacific,74,7300,18293.0582906,IBRD,83,FJ,FJI,4054841.22828,0.9905253784832613
1,Kiribati,2014-01-01,Lower middle income,1,296,East Asia & Pacific,121,12000,933.342117578,IDA,135,KI,KIR,1581956.50079,0.9619666007519109
2,Marshall Islands,2014-01-01,Upper middle income,1,584,East Asia & Pacific,141,14000,199.248720383,IDA,157,MH,MHL,1052014.32989,1.0
3,Federated States of Micronesia,2014-01-01,Lower middle income,1,583,East Asia & Pacific,145,14400,692.446510142,IDA,163,FM,FSM,701927.033181,0.988559603807924
4,Nauru,2014-01-01,,1,520,,155,15400,18.2613307643,,173,NR,NRU,16107.7299471,1.0
5,Palau,2014-01-01,Upper middle income,1,585,East Asia & Pacific,170,16900,459.784027327,IBRD,189,PW,PLW,334487.735185,0.9974503690424623
6,Papua New Guinea,2014-01-01,Lower middle income,1,598,East Asia & Pacific,173,17200,462229.644778,Blend,192,PG,PNG,18169052.305,0.7986544130064578
7,Samoa,2014-01-01,Lower middle income,1,882,East Asia & Pacific,191,19000,2877.21146464,IDA,212,WS,WSM,426923.865253,0.5325351802874486
8,Solomon Islands,2014-01-01,Lower middle income,1,90,East Asia & Pacific,201,20000,28721.9231407,IDA,225,SB,SLB,7464890.15997,0.9269514910937741
9,Tonga,2014-01-01,Upper middle income,1,776,East Asia & Pacific,219,21800,672.163551358,IDA,245,TO,TON,714461.2022,0.9626050907861161
10,Tuvalu,2014-01-01,Upper middle income,1,798,East Asia & Pacific,225,22400,29.9934745917,IDA,252,TV,TUV,119900.040632,0.7806244336436279
11,Vanuatu,2014-01-01,Lower middle income,1,548,East Asia & Pacific,235,23400,12231.7137936,IDA,262,VU,VUT,2958412.81503,1.0
12,Fiji,2014-02-01,Upper middle income,1,242,East Asia & Pacific,74,7300,18293.0582906,IBRD,83,FJ,FJI,4054841.22828,0.9964234534833837
13,Kiribati,2014-02-01,Lower middle income,1,296,East Asia & Pacific,121,12000,933.342117578,IDA,135,KI,KIR,1581956.50079,1.0000000000000002
14,Marshall Islands,2014-02-01,Upper middle income,1,584,East Asia & Pacific,141,14000,199.248720383,IDA,157,MH,MHL,1052014.32989,0.9801195112977507
15,Federated States of Micronesia,2014-02-01,Lower middle income,1,583,East Asia & Pacific,145,14400,692.446510142,IDA,163,FM,FSM,701927.033181,0.8342170656586868
16,Nauru,2014-02-01,,1,520,,155,15400,18.2613307643,,173,NR,NRU,16107.7299471,0.7851075702151405
17,Palau,2014-02-01,Upper middle income,1,585,East Asia & Pacific,170,16900,459.784027327,IBRD,189,PW,PLW,334487.735185,0.9965004224367524
18,Papua New Guinea,2014-02-01,Lower middle income,1,598,East Asia & Pacific,173,17200,462229.644778,Blend,192,PG,PNG,18169052.305,0.4131636773281713
