ISO3,country,adm1_name,adm2_name,mkt_name,lat,lon,geo_id,DATES,year,month,currency,components,start_dense_data,last_survey_point,data_coverage,data_coverage_recent,index_confidence_submodels,spatially_interpolated,banana_cooking,broccoli,cabbage_english,carrot,cucumber,lettuce,onion_bulb,pawpaw,pineapple,tomato,o_imp_banana_cooking,h_imp_banana_cooking,l_imp_banana_cooking,c_imp_banana_cooking,o_imp_broccoli,h_imp_broccoli,l_imp_broccoli,c_imp_broccoli,o_imp_cabbage_english,h_imp_cabbage_english,l_imp_cabbage_english,c_imp_cabbage_english,o_imp_carrot,h_imp_carrot,l_imp_carrot,c_imp_carrot,o_imp_cucumber,h_imp_cucumber,l_imp_cucumber,c_imp_cucumber,o_imp_lettuce,h_imp_lettuce,l_imp_lettuce,c_imp_lettuce,o_imp_onion_bulb,h_imp_onion_bulb,l_imp_onion_bulb,c_imp_onion_bulb,o_imp_pawpaw,h_imp_pawpaw,l_imp_pawpaw,c_imp_pawpaw,o_imp_pineapple,h_imp_pineapple,l_imp_pineapple,c_imp_pineapple,o_imp_tomato,h_imp_tomato,l_imp_tomato,c_imp_tomato,o_food_price_index,h_food_price_index,l_food_price_index,c_food_price_index
PNG,Papua New Guinea,Banz,Banz,Banz,-5.8007167,144.6230793,gid_-580071446231,01/01/2014,2014,1,PGK,"banana_cooking (1 unit, Index Weight = 1), broccoli (1 unit, Index Weight = 1), cabbage_english (1 unit, Index Weight = 1), carrot (1 unit, Index Weight = 1), cucumber (1 unit, Index Weight = 1), lettuce (1 unit, Index Weight = 1), onion_bulb (1 unit, Index Weight = 1), pawpaw (1 unit, Index Weight = 1), pineapple (1 unit, Index Weight = 1), tomato (1 unit, Index Weight = 1)",Jan/14,Jul/22,42.83,52.88,0.71,1,,,,,,,,,,,3.04,3.37,2.75,3.07,3.05,3.57,2.59,3.11,1.02,1.2,0.87,1.04,1.51,1.79,1.31,1.55,1.64,1.8,1.48,1.64,3.03,3.55,2.65,3.1,3.71,4.18,3.33,3.76,2.1,2.3,1.98,2.11,1.82,2.09,1.54,1.82,3.79,4.19,3.37,3.79,0.62,0.66,0.58,0.62
PNG,Papua New Guinea,Banz,Banz,Banz,-5.8007167,144.6230793,gid_-580071446231,01/02/2014,2014,2,PGK,"banana_cooking (1 unit, Index Weight = 1), broccoli (1 unit, Index Weight = 1), cabbage_english (1 unit, Index Weight = 1), carrot (1 unit, Index Weight = 1), cucumber (1 unit, Index Weight = 1), lettuce (1 unit, Index Weight = 1), onion_bulb (1 unit, Index Weight = 1), pawpaw (1 unit, Index Weight = 1), pineapple (1 unit, Index Weight = 1), tomato (1 unit, Index Weight = 1)",Jan/14,Jul/22,42.83,52.88,0.71,1,,,,,,,,,,,3.1,3.41,2.78,3.04,3.14,3.64,2.64,2.94,1.06,1.22,0.89,1.03,1.59,1.84,1.34,1.58,1.64,1.8,1.48,1.69,3.17,3.63,2.71,2.98,3.81,4.24,3.38,3.96,2.15,2.52,2,2.52,1.81,2.09,1.54,1.88,3.78,4.19,3.37,3.53,0.62,0.66,0.58,0.63
PNG,Papua New Guinea,Banz,Banz,Banz,-5.8007167,144.6230793,gid_-580071446231,01/03/2014,2014,3,PGK,"banana_cooking (1 unit, Index Weight = 1), broccoli (1 unit, Index Weight = 1), cabbage_english (1 unit, Index Weight = 1), carrot (1 unit, Index Weight = 1), cucumber (1 unit, Index Weight = 1), lettuce (1 unit, Index Weight = 1), onion_bulb (1 unit, Index Weight = 1), pawpaw (1 unit, Index Weight = 1), pineapple (1 unit, Index Weight = 1), tomato (1 unit, Index Weight = 1)",Jan/14,Jul/22,42.83,52.88,0.71,1,,,,,,,,,,,3.1,3.44,2.76,3.08,3.06,3.57,2.55,2.61,1.06,1.24,0.87,1.02,1.62,1.89,1.34,1.45,1.7,1.89,1.52,1.84,3.05,3.51,2.58,2.75,3.95,4.43,3.46,3.71,2.27,2.37,2.15,2.15,1.88,2.19,1.57,2,3.58,3.98,3.18,3.37,0.63,0.67,0.59,0.6
PNG,Papua New Guinea,Banz,Banz,Banz,-5.8007167,144.6230793,gid_-580071446231,01/04/2014,2014,4,PGK,"banana_cooking (1 unit, Index Weight = 1), broccoli (1 unit, Index Weight = 1), cabbage_english (1 unit, Index Weight = 1), carrot (1 unit, Index Weight = 1), cucumber (1 unit, Index Weight = 1), lettuce (1 unit, Index Weight = 1), onion_bulb (1 unit, Index Weight = 1), pawpaw (1 unit, Index Weight = 1), pineapple (1 unit, Index Weight = 1), tomato (1 unit, Index Weight = 1)",Jan/14,Jul/22,42.83,52.88,0.71,1,,,,,,,,,,,3.12,3.48,2.76,3.25,2.83,3.25,2.4,2.4,1.04,1.23,0.86,1.1,1.51,1.97,1.25,1.97,1.87,2.06,1.68,1.74,2.81,3.25,2.38,2.87,3.84,4.96,3.37,4.96,2.22,2.29,2.09,2.09,2,2.33,1.66,2.01,3.44,4.02,3.05,4.02,0.59,0.66,0.55,0.66
PNG,Papua New Guinea,Banz,Banz,Banz,-5.8007167,144.6230793,gid_-580071446231,01/05/2014,2014,5,PGK,"banana_cooking (1 unit, Index Weight = 1), broccoli (1 unit, Index Weight = 1), cabbage_english (1 unit, Index Weight = 1), carrot (1 unit, Index Weight = 1), cucumber (1 unit, Index Weight = 1), lettuce (1 unit, Index Weight = 1), onion_bulb (1 unit, Index Weight = 1), pawpaw (1 unit, Index Weight = 1), pineapple (1 unit, Index Weight = 1), tomato (1 unit, Index Weight = 1)",Jan/14,Jul/22,42.83,52.88,0.71,1,,,,,,,,,,,3.2,3.59,2.82,2.84,2.62,3.76,2.24,3.76,1.1,1.31,0.89,0.94,1.98,2.14,1.81,1.95,1.73,1.91,1.54,1.84,2.94,3.61,2.46,3.61,4.46,4.9,4.03,4.1,2.18,2.38,2.08,2.38,2.02,2.38,1.67,2.05,3.93,4.28,3.59,3.6,0.67,0.69,0.64,0.67
PNG,Papua New Guinea,Banz,Banz,Banz,-5.8007167,144.6230793,gid_-580071446231,01/06/2014,2014,6,PGK,"banana_cooking (1 unit, Index Weight = 1), broccoli (1 unit, Index Weight = 1), cabbage_english (1 unit, Index Weight = 1), carrot (1 unit, Index Weight = 1), cucumber (1 unit, Index Weight = 1), lettuce (1 unit, Index Weight = 1), onion_bulb (1 unit, Index Weight = 1), pawpaw (1 unit, Index Weight = 1), pineapple (1 unit, Index Weight = 1), tomato (1 unit, Index Weight = 1)",Jan/14,Jul/22,42.83,52.88,0.71,1,,,,,,,,,,,3.08,3.87,2.78,3.87,3.12,3.75,2.48,3.49,1.01,1.18,0.84,0.91,1.97,2.43,1.71,2.43,1.85,2.05,1.65,1.82,3.68,4.12,3.24,3.64,4.2,5.4,4.15,5.4,2.26,2.4,2.15,2.4,2.05,3.18,1.68,3.18,3.61,3.96,3.27,3.74,0.68,0.77,0.65,0.77
PNG,Papua New Guinea,Banz,Banz,Banz,-5.8007167,144.6230793,gid_-580071446231,01/07/2014,2014,7,PGK,"banana_cooking (1 unit, Index Weight = 1), broccoli (1 unit, Index Weight = 1), cabbage_english (1 unit, Index Weight = 1), carrot (1 unit, Index Weight = 1), cucumber (1 unit, Index Weight = 1), lettuce (1 unit, Index Weight = 1), onion_bulb (1 unit, Index Weight = 1), pawpaw (1 unit, Index Weight = 1), pineapple (1 unit, Index Weight = 1), tomato (1 unit, Index Weight = 1)",Jan/14,Jul/22,42.83,52.88,0.71,1,,,,,,,,,,,3.26,3.61,2.91,3.11,3.32,3.65,2.99,3.28,0.93,1.15,0.76,1.15,2.4,3.25,2.17,3.25,1.82,2.02,1.61,1.99,3.72,4.65,3.19,4.65,4.88,5.58,4.17,4.57,2.31,2.45,2.14,2.14,3.12,3.66,2.58,2.97,3.72,4.13,3.32,3.91,0.78,0.8,0.76,0.77
PNG,Papua New Guinea,Banz,Banz,Banz,-5.8007167,144.6230793,gid_-580071446231,01/08/2014,2014,8,PGK,"banana_cooking (1 unit, Index Weight = 1), broccoli (1 unit, Index Weight = 1), cabbage_english (1 unit, Index Weight = 1), carrot (1 unit, Index Weight = 1), cucumber (1 unit, Index Weight = 1), lettuce (1 unit, Index Weight = 1), onion_bulb (1 unit, Index Weight = 1), pawpaw (1 unit, Index Weight = 1), pineapple (1 unit, Index Weight = 1), tomato (1 unit, Index Weight = 1)",Jan/14,Jul/22,42.83,52.88,0.71,1,,,,,,,,,,,3.35,3.52,3.26,3.52,3.35,3.98,3.1,3.98,1.08,1.24,0.87,0.87,3.12,3.51,2.73,3.47,2.02,2.23,1.8,1.93,4.74,5.14,3.43,3.43,4.66,5.02,4.3,4.96,2.25,2.37,2.12,2.36,3.07,3.34,2.8,3.21,3.85,4.3,3.41,3.91,0.78,0.81,0.76,0.79
PNG,Papua New Guinea,Banz,Banz,Banz,-5.8007167,144.6230793,gid_-580071446231,01/09/2014,2014,9,PGK,"banana_cooking (1 unit, Index Weight = 1), broccoli (1 unit, Index Weight = 1), cabbage_english (1 unit, Index Weight = 1), carrot (1 unit, Index Weight = 1), cucumber (1 unit, Index Weight = 1), lettuce (1 unit, Index Weight = 1), onion_bulb (1 unit, Index Weight = 1), pawpaw (1 unit, Index Weight = 1), pineapple (1 unit, Index Weight = 1), tomato (1 unit, Index Weight = 1)",Jan/14,Jul/22,42.83,52.88,0.71,1,,,,,,,,,,,3.26,3.46,2.79,2.79,3.73,4.01,2.4,2.4,0.97,1.08,0.85,0.9,3.31,3.39,2.17,2.17,1.92,2.13,1.47,1.47,3.52,3.79,1.99,1.99,4.91,5.28,4.81,5.28,2.3,2.45,2.1,2.1,3.21,3.41,3,3.12,3.85,4.33,3.38,3.82,0.77,0.81,0.65,0.65
PNG,Papua New Guinea,Banz,Banz,Banz,-5.8007167,144.6230793,gid_-580071446231,01/10/2014,2014,10,PGK,"banana_cooking (1 unit, Index Weight = 1), broccoli (1 unit, Index Weight = 1), cabbage_english (1 unit, Index Weight = 1), carrot (1 unit, Index Weight = 1), cucumber (1 unit, Index Weight = 1), lettuce (1 unit, Index Weight = 1), onion_bulb (1 unit, Index Weight = 1), pawpaw (1 unit, Index Weight = 1), pineapple (1 unit, Index Weight = 1), tomato (1 unit, Index Weight = 1)",Jan/14,Jul/22,42.83,52.88,0.71,1,,,,,,,,,,,3.06,3.19,2.93,3.11,2.75,3.05,2.46,2.65,0.89,1.11,0.76,1.11,2.15,2.45,1.3,1.3,1.41,1.99,1.35,1.99,2.05,2.88,1.61,2.88,5.18,5.53,3.67,3.67,2.22,2.35,2.1,2.2,3.15,3.5,1.82,1.82,3.79,4.7,3.31,4.7,0.64,0.68,0.6,0.63
