ISO3,country,adm1_name,adm2_name,mkt_name,lat,lon,geo_id,DATES,year,month,currency,components,start_dense_data,last_survey_point,data_coverage,data_coverage_recent,index_confidence_submodels,spatially_interpolated,aibika,amaranthus_aupa,banana_cooking,banana_ripe,cabbage_english,capsicum,carrot,cassava,choko_tips,cucumber,fern,ginger,lemon,onion_bulb,orange,pakchoi,pawpaw,peanut,pineapple,potato,pumpkin_tips,taro_true,tomato,watermelons,o_imp_aibika,h_imp_aibika,l_imp_aibika,c_imp_aibika,o_imp_amaranthus_aupa,h_imp_amaranthus_aupa,l_imp_amaranthus_aupa,c_imp_amaranthus_aupa,o_imp_banana_cooking,h_imp_banana_cooking,l_imp_banana_cooking,c_imp_banana_cooking,o_imp_banana_ripe,h_imp_banana_ripe,l_imp_banana_ripe,c_imp_banana_ripe,o_imp_cabbage_english,h_imp_cabbage_english,l_imp_cabbage_english,c_imp_cabbage_english,o_imp_capsicum,h_imp_capsicum,l_imp_capsicum,c_imp_capsicum,o_imp_carrot,h_imp_carrot,l_imp_carrot,c_imp_carrot,o_imp_cassava,h_imp_cassava,l_imp_cassava,c_imp_cassava,o_imp_choko_tips,h_imp_choko_tips,l_imp_choko_tips,c_imp_choko_tips,o_imp_cucumber,h_imp_cucumber,l_imp_cucumber,c_imp_cucumber,o_imp_fern,h_imp_fern,l_imp_fern,c_imp_fern,o_imp_ginger,h_imp_ginger,l_imp_ginger,c_imp_ginger,o_imp_lemon,h_imp_lemon,l_imp_lemon,c_imp_lemon,o_imp_onion_bulb,h_imp_onion_bulb,l_imp_onion_bulb,c_imp_onion_bulb,o_imp_orange,h_imp_orange,l_imp_orange,c_imp_orange,o_imp_pakchoi,h_imp_pakchoi,l_imp_pakchoi,c_imp_pakchoi,o_imp_pawpaw,h_imp_pawpaw,l_imp_pawpaw,c_imp_pawpaw,o_imp_peanut,h_imp_peanut,l_imp_peanut,c_imp_peanut,o_imp_pineapple,h_imp_pineapple,l_imp_pineapple,c_imp_pineapple,o_imp_potato,h_imp_potato,l_imp_potato,c_imp_potato,o_imp_pumpkin_tips,h_imp_pumpkin_tips,l_imp_pumpkin_tips,c_imp_pumpkin_tips,o_imp_taro_true,h_imp_taro_true,l_imp_taro_true,c_imp_taro_true,o_imp_tomato,h_imp_tomato,l_imp_tomato,c_imp_tomato,o_imp_watermelons,h_imp_watermelons,l_imp_watermelons,c_imp_watermelons,o_food_price_index,h_food_price_index,l_food_price_index,c_food_price_index
PNG,Papua New Guinea,Banz,Banz,Banz,-5.8007167,144.6230793,gid_-580071446231,01/01/2017,2017,1,PGK,"aibika (1 unit, Index Weight = 1), amaranthus_aupa (1 unit, Index Weight = 1), banana_cooking (1 unit, Index Weight = 1), banana_ripe (1 unit, Index Weight = 1), cabbage_english (1 unit, Index Weight = 1), capsicum (1 unit, Index Weight = 1), carrot (1 unit, Index Weight = 1), cassava (1 unit, Index Weight = 1), choko_tips (1 unit, Index Weight = 1), cucumber (1 unit, Index Weight = 1), fern (1 unit, Index Weight = 1), ginger (1 unit, Index Weight = 1), lemon (1 unit, Index Weight = 1), onion_bulb (1 unit, Index Weight = 1), orange (1 unit, Index Weight = 1), pakchoi (1 unit, Index Weight = 1), pawpaw (1 unit, Index Weight = 1), peanut (1 unit, Index Weight = 1), pineapple (1 unit, Index Weight = 1), potato (1 unit, Index Weight = 1), pumpkin_tips (1 unit, Index Weight = 1), taro_true (1 unit, Index Weight = 1), tomato (1 unit, Index Weight = 1), watermelons (1 unit, Index Weight = 1)",Apr/17,Jul/22,51.8,52.15,0.76,1,,,,,,,,,,,,,,,,,,,,,,,,,2.74,3.04,2.46,2.74,2.14,2.3,1.95,2.14,2.78,2.98,2.58,2.79,1.69,1.89,1.52,1.71,2.48,2.92,2.02,2.48,5.66,6.33,4.96,5.66,2.83,3.32,2.33,2.83,0.7,0.75,0.66,0.7,0.7,0.76,0.63,0.7,1.52,1.55,1.45,1.52,1.88,1.92,1.82,1.89,5.28,5.85,4.68,5.29,1.5,1.74,1.35,1.54,5.83,6.33,5.34,5.84,2.37,2.83,2.03,2.44,2.18,2.25,2.06,2.2,2.13,2.3,1.97,2.13,7.07,7.6,6.52,7.07,2.07,2.55,1.63,2.07,2.7,3.04,2.36,2.7,1.24,1.48,1.09,1.28,2.54,2.91,2.25,2.58,6.31,7.03,5.59,6.31,4.6,4.68,4.36,4.55,0.92,0.97,0.89,0.92
PNG,Papua New Guinea,Banz,Banz,Banz,-5.8007167,144.6230793,gid_-580071446231,01/02/2017,2017,2,PGK,"aibika (1 unit, Index Weight = 1), amaranthus_aupa (1 unit, Index Weight = 1), banana_cooking (1 unit, Index Weight = 1), banana_ripe (1 unit, Index Weight = 1), cabbage_english (1 unit, Index Weight = 1), capsicum (1 unit, Index Weight = 1), carrot (1 unit, Index Weight = 1), cassava (1 unit, Index Weight = 1), choko_tips (1 unit, Index Weight = 1), cucumber (1 unit, Index Weight = 1), fern (1 unit, Index Weight = 1), ginger (1 unit, Index Weight = 1), lemon (1 unit, Index Weight = 1), onion_bulb (1 unit, Index Weight = 1), orange (1 unit, Index Weight = 1), pakchoi (1 unit, Index Weight = 1), pawpaw (1 unit, Index Weight = 1), peanut (1 unit, Index Weight = 1), pineapple (1 unit, Index Weight = 1), potato (1 unit, Index Weight = 1), pumpkin_tips (1 unit, Index Weight = 1), taro_true (1 unit, Index Weight = 1), tomato (1 unit, Index Weight = 1), watermelons (1 unit, Index Weight = 1)",Apr/17,Jul/22,51.8,52.15,0.76,1,,,,,,,,,,,,,,,,,,,,,,,,,2.75,3.04,2.46,2.95,2.13,2.3,1.96,2.06,2.78,2.99,2.58,2.82,1.72,1.9,1.53,1.67,2.47,2.92,2.02,2.66,5.65,6.33,4.96,5.8,2.83,3.32,2.33,3.21,0.7,0.75,0.66,0.69,0.7,0.76,0.63,0.75,1.5,1.55,1.45,1.48,1.87,1.92,1.82,1.92,5.27,6,4.68,6,1.59,1.79,1.39,1.61,5.83,6.33,5.34,6.03,2.51,2.92,2.1,2.65,2.17,2.27,2.07,2.21,2.13,2.3,1.97,2.16,7.07,7.61,6.53,7.12,2.09,2.55,1.63,2.15,2.7,3.04,2.36,2.52,1.33,1.53,1.13,1.41,2.62,2.95,2.28,2.65,6.31,7.03,5.59,6.39,4.47,4.63,4.31,4.44,0.93,0.97,0.89,0.95
PNG,Papua New Guinea,Banz,Banz,Banz,-5.8007167,144.6230793,gid_-580071446231,01/03/2017,2017,3,PGK,"aibika (1 unit, Index Weight = 1), amaranthus_aupa (1 unit, Index Weight = 1), banana_cooking (1 unit, Index Weight = 1), banana_ripe (1 unit, Index Weight = 1), cabbage_english (1 unit, Index Weight = 1), capsicum (1 unit, Index Weight = 1), carrot (1 unit, Index Weight = 1), cassava (1 unit, Index Weight = 1), choko_tips (1 unit, Index Weight = 1), cucumber (1 unit, Index Weight = 1), fern (1 unit, Index Weight = 1), ginger (1 unit, Index Weight = 1), lemon (1 unit, Index Weight = 1), onion_bulb (1 unit, Index Weight = 1), orange (1 unit, Index Weight = 1), pakchoi (1 unit, Index Weight = 1), pawpaw (1 unit, Index Weight = 1), peanut (1 unit, Index Weight = 1), pineapple (1 unit, Index Weight = 1), potato (1 unit, Index Weight = 1), pumpkin_tips (1 unit, Index Weight = 1), taro_true (1 unit, Index Weight = 1), tomato (1 unit, Index Weight = 1), watermelons (1 unit, Index Weight = 1)",Apr/17,Jul/22,51.8,52.15,0.76,1,,,,,,,,,,,,,,,,,,,,,,,,,2.9,3.22,2.58,2.9,2.09,2.34,1.91,2.34,2.81,3.03,2.58,2.84,1.69,1.88,1.49,1.64,2.59,3.1,2.07,2.59,5.77,6.53,5.01,6.11,3.15,3.72,2.58,3.22,0.7,0.75,0.65,0.71,0.75,0.82,0.68,0.72,1.52,1.57,1.47,1.48,1.96,2.02,1.9,2.02,5.67,6.25,4.8,4.8,1.64,1.87,1.42,1.55,6,6.55,5.46,5.47,2.68,3.16,2.2,2.28,2.3,2.4,2.2,2.23,2.16,2.34,1.98,2.21,7.09,7.69,6.5,7.3,2.17,2.7,1.65,2.21,2.55,2.89,2.22,2.61,1.43,1.66,1.19,1.39,2.69,3.06,2.3,2.3,6.39,7.18,5.59,6.53,4.54,4.7,4.38,4.51,0.96,1,0.92,0.93
PNG,Papua New Guinea,Banz,Banz,Banz,-5.8007167,144.6230793,gid_-580071446231,01/04/2017,2017,4,PGK,"aibika (1 unit, Index Weight = 1), amaranthus_aupa (1 unit, Index Weight = 1), banana_cooking (1 unit, Index Weight = 1), banana_ripe (1 unit, Index Weight = 1), cabbage_english (1 unit, Index Weight = 1), capsicum (1 unit, Index Weight = 1), carrot (1 unit, Index Weight = 1), cassava (1 unit, Index Weight = 1), choko_tips (1 unit, Index Weight = 1), cucumber (1 unit, Index Weight = 1), fern (1 unit, Index Weight = 1), ginger (1 unit, Index Weight = 1), lemon (1 unit, Index Weight = 1), onion_bulb (1 unit, Index Weight = 1), orange (1 unit, Index Weight = 1), pakchoi (1 unit, Index Weight = 1), pawpaw (1 unit, Index Weight = 1), peanut (1 unit, Index Weight = 1), pineapple (1 unit, Index Weight = 1), potato (1 unit, Index Weight = 1), pumpkin_tips (1 unit, Index Weight = 1), taro_true (1 unit, Index Weight = 1), tomato (1 unit, Index Weight = 1), watermelons (1 unit, Index Weight = 1)",Apr/17,Jul/22,51.8,52.15,0.76,1,,,,,,,,,,,,,,,,,,,,,,,,,2.88,3.22,2.54,2.77,2.28,2.43,2.12,2.25,2.82,3.06,2.59,2.85,1.67,1.87,1.47,1.66,2.6,3.14,2.07,2.8,6.02,6.84,5.2,6.07,3.24,3.85,2.62,2.93,0.71,0.76,0.65,0.72,0.72,0.79,0.65,0.71,1.47,1.52,1.42,1.52,1.98,2.04,1.93,1.96,5.2,5.6,4.8,5.43,1.63,1.85,1.4,1.59,5.53,5.99,5.07,5.57,2.49,2.89,2.1,2.51,2.2,2.29,2.12,2.25,2.2,2.4,2.01,2.22,7.2,7.83,6.58,7.33,2.23,2.79,1.66,2.3,2.57,2.94,2.2,2.62,1.46,1.7,1.21,1.37,2.41,2.71,2.12,2.6,6.51,7.36,5.67,6.5,4.38,4.54,4.22,4.53,0.93,0.98,0.89,0.95
PNG,Papua New Guinea,Banz,Banz,Banz,-5.8007167,144.6230793,gid_-580071446231,01/05/2017,2017,5,PGK,"aibika (1 unit, Index Weight = 1), amaranthus_aupa (1 unit, Index Weight = 1), banana_cooking (1 unit, Index Weight = 1), banana_ripe (1 unit, Index Weight = 1), cabbage_english (1 unit, Index Weight = 1), capsicum (1 unit, Index Weight = 1), carrot (1 unit, Index Weight = 1), cassava (1 unit, Index Weight = 1), choko_tips (1 unit, Index Weight = 1), cucumber (1 unit, Index Weight = 1), fern (1 unit, Index Weight = 1), ginger (1 unit, Index Weight = 1), lemon (1 unit, Index Weight = 1), onion_bulb (1 unit, Index Weight = 1), orange (1 unit, Index Weight = 1), pakchoi (1 unit, Index Weight = 1), pawpaw (1 unit, Index Weight = 1), peanut (1 unit, Index Weight = 1), pineapple (1 unit, Index Weight = 1), potato (1 unit, Index Weight = 1), pumpkin_tips (1 unit, Index Weight = 1), taro_true (1 unit, Index Weight = 1), tomato (1 unit, Index Weight = 1), watermelons (1 unit, Index Weight = 1)",Apr/17,Jul/22,51.8,52.15,0.76,1,,,,,,,,,,,,,,,,,,,,,,,,,2.78,3.12,2.45,2.77,2.22,2.4,2.04,2.19,2.84,3.08,2.6,2.86,1.69,1.9,1.48,1.76,2.71,3.3,2.12,2.63,5.99,6.85,5.14,6.16,2.98,3.55,2.41,2.98,0.71,0.77,0.66,0.71,0.71,0.79,0.64,0.71,1.57,1.73,1.51,1.73,1.99,2.04,1.92,1.92,5.14,5.69,4.59,5.12,1.63,1.87,1.39,1.55,5.57,6.08,5.06,5.79,2.44,2.91,1.97,2.05,2.32,2.4,2.14,2.14,2.22,2.42,2.01,2.22,7.23,7.88,6.57,7.29,2.32,2.93,1.71,2.31,2.62,3,2.23,2.58,1.43,1.68,1.19,1.38,2.6,2.95,2.25,2.42,6.48,7.35,5.61,6.63,4.62,4.78,4.46,4.59,0.95,0.99,0.9,0.94
PNG,Papua New Guinea,Banz,Banz,Banz,-5.8007167,144.6230793,gid_-580071446231,01/06/2017,2017,6,PGK,"aibika (1 unit, Index Weight = 1), amaranthus_aupa (1 unit, Index Weight = 1), banana_cooking (1 unit, Index Weight = 1), banana_ripe (1 unit, Index Weight = 1), cabbage_english (1 unit, Index Weight = 1), capsicum (1 unit, Index Weight = 1), carrot (1 unit, Index Weight = 1), cassava (1 unit, Index Weight = 1), choko_tips (1 unit, Index Weight = 1), cucumber (1 unit, Index Weight = 1), fern (1 unit, Index Weight = 1), ginger (1 unit, Index Weight = 1), lemon (1 unit, Index Weight = 1), onion_bulb (1 unit, Index Weight = 1), orange (1 unit, Index Weight = 1), pakchoi (1 unit, Index Weight = 1), pawpaw (1 unit, Index Weight = 1), peanut (1 unit, Index Weight = 1), pineapple (1 unit, Index Weight = 1), potato (1 unit, Index Weight = 1), pumpkin_tips (1 unit, Index Weight = 1), taro_true (1 unit, Index Weight = 1), tomato (1 unit, Index Weight = 1), watermelons (1 unit, Index Weight = 1)",Apr/17,Jul/22,51.8,52.15,0.76,1,,,,,,,,,,,,,,,,,,,,,,,,,2.78,3.13,2.43,2.9,2.13,2.43,1.94,2.43,2.85,3.1,2.6,2.81,1.76,1.99,1.54,1.62,2.67,3.24,2.1,2.29,6.07,6.95,5.18,6.14,2.95,3.56,2.35,3.04,0.71,0.77,0.65,0.72,0.71,0.78,0.63,0.71,1.72,1.78,1.54,1.54,1.9,1.95,1.85,1.88,5.24,5.83,4.66,5.11,1.64,1.88,1.41,1.63,5.76,6.31,5.22,5.72,2.29,2.65,1.92,2.37,2.08,2.16,1.99,2.13,2.22,2.43,2.01,2.2,7.26,7.93,6.6,7.54,2.32,2.95,1.69,2.37,2.59,2.97,2.2,2.63,1.43,1.68,1.18,1.4,2.5,2.84,2.16,2.61,6.6,7.51,5.69,6.58,4.48,4.64,4.32,4.63,0.95,0.99,0.9,0.95
PNG,Papua New Guinea,Banz,Banz,Banz,-5.8007167,144.6230793,gid_-580071446231,01/07/2017,2017,7,PGK,"aibika (1 unit, Index Weight = 1), amaranthus_aupa (1 unit, Index Weight = 1), banana_cooking (1 unit, Index Weight = 1), banana_ripe (1 unit, Index Weight = 1), cabbage_english (1 unit, Index Weight = 1), capsicum (1 unit, Index Weight = 1), carrot (1 unit, Index Weight = 1), cassava (1 unit, Index Weight = 1), choko_tips (1 unit, Index Weight = 1), cucumber (1 unit, Index Weight = 1), fern (1 unit, Index Weight = 1), ginger (1 unit, Index Weight = 1), lemon (1 unit, Index Weight = 1), onion_bulb (1 unit, Index Weight = 1), orange (1 unit, Index Weight = 1), pakchoi (1 unit, Index Weight = 1), pawpaw (1 unit, Index Weight = 1), peanut (1 unit, Index Weight = 1), pineapple (1 unit, Index Weight = 1), potato (1 unit, Index Weight = 1), pumpkin_tips (1 unit, Index Weight = 1), taro_true (1 unit, Index Weight = 1), tomato (1 unit, Index Weight = 1), watermelons (1 unit, Index Weight = 1)",Apr/17,Jul/22,51.8,52.15,0.76,1,,,,,,,,,,,,,,,,,,,,,,,,,2.87,3.23,2.5,2.55,2.43,2.57,2.29,2.35,2.82,3.07,2.57,2.91,1.67,1.92,1.47,1.92,2.39,2.86,1.91,2.21,6.06,6.96,5.16,5.68,3.03,3.65,2.4,2.96,0.72,0.77,0.66,0.71,0.71,0.78,0.63,0.72,1.51,1.56,1.44,1.44,1.91,1.99,1.86,1.99,5.12,5.74,4.5,5.21,1.67,1.92,1.42,1.6,5.72,6.29,5.16,5.67,2.24,2.69,1.8,2.6,2.17,2.24,2,2,2.2,2.41,1.99,2.22,7.4,8.08,6.71,7.31,2.38,3.03,1.73,2.43,2.61,3.02,2.21,2.35,1.45,1.72,1.19,1.68,2.63,3.01,2.25,2.67,6.56,7.48,5.64,5.68,4.72,5.09,4.56,5.09,0.94,0.99,0.89,0.93
PNG,Papua New Guinea,Banz,Banz,Banz,-5.8007167,144.6230793,gid_-580071446231,01/08/2017,2017,8,PGK,"aibika (1 unit, Index Weight = 1), amaranthus_aupa (1 unit, Index Weight = 1), banana_cooking (1 unit, Index Weight = 1), banana_ripe (1 unit, Index Weight = 1), cabbage_english (1 unit, Index Weight = 1), capsicum (1 unit, Index Weight = 1), carrot (1 unit, Index Weight = 1), cassava (1 unit, Index Weight = 1), choko_tips (1 unit, Index Weight = 1), cucumber (1 unit, Index Weight = 1), fern (1 unit, Index Weight = 1), ginger (1 unit, Index Weight = 1), lemon (1 unit, Index Weight = 1), onion_bulb (1 unit, Index Weight = 1), orange (1 unit, Index Weight = 1), pakchoi (1 unit, Index Weight = 1), pawpaw (1 unit, Index Weight = 1), peanut (1 unit, Index Weight = 1), pineapple (1 unit, Index Weight = 1), potato (1 unit, Index Weight = 1), pumpkin_tips (1 unit, Index Weight = 1), taro_true (1 unit, Index Weight = 1), tomato (1 unit, Index Weight = 1), watermelons (1 unit, Index Weight = 1)",Apr/17,Jul/22,51.8,52.15,0.76,1,,,,,,,,,,,,,,,,,,,,,,,,,2.61,2.91,2.32,2.63,2.33,2.5,2.16,2.49,2.88,3.14,2.62,2.91,1.88,2.07,1.69,1.82,2.24,2.71,1.78,2.11,5.68,6.5,4.86,5.45,2.97,3.64,2.35,3.64,0.71,0.76,0.65,0.72,0.72,0.8,0.63,0.73,1.43,1.56,1.38,1.56,1.95,2.01,1.9,2.01,5.17,5.83,4.51,5.42,1.71,1.95,1.46,1.8,5.68,6.25,5.11,5.82,2.69,3.15,2.22,3.04,1.95,2.03,1.87,1.91,2.22,2.43,2.01,2.19,7.29,7.97,6.62,7.47,2.45,3.13,1.78,2.41,2.4,2.75,2.06,2.46,1.65,2.31,1.36,2.31,2.7,3.1,2.3,2.92,5.73,6.43,5.04,5.47,5.02,5.25,4.84,5.25,0.94,0.99,0.89,0.97
PNG,Papua New Guinea,Banz,Banz,Banz,-5.8007167,144.6230793,gid_-580071446231,01/09/2017,2017,9,PGK,"aibika (1 unit, Index Weight = 1), amaranthus_aupa (1 unit, Index Weight = 1), banana_cooking (1 unit, Index Weight = 1), banana_ripe (1 unit, Index Weight = 1), cabbage_english (1 unit, Index Weight = 1), capsicum (1 unit, Index Weight = 1), carrot (1 unit, Index Weight = 1), cassava (1 unit, Index Weight = 1), choko_tips (1 unit, Index Weight = 1), cucumber (1 unit, Index Weight = 1), fern (1 unit, Index Weight = 1), ginger (1 unit, Index Weight = 1), lemon (1 unit, Index Weight = 1), onion_bulb (1 unit, Index Weight = 1), orange (1 unit, Index Weight = 1), pakchoi (1 unit, Index Weight = 1), pawpaw (1 unit, Index Weight = 1), peanut (1 unit, Index Weight = 1), pineapple (1 unit, Index Weight = 1), potato (1 unit, Index Weight = 1), pumpkin_tips (1 unit, Index Weight = 1), taro_true (1 unit, Index Weight = 1), tomato (1 unit, Index Weight = 1), watermelons (1 unit, Index Weight = 1)",Apr/17,Jul/22,51.8,52.15,0.76,1,,,,,,,,,,,,,,,,,,,,,,,,,2.66,2.98,2.34,2.54,2.39,2.58,2.21,2.25,2.89,3.15,2.64,2.89,1.81,2.01,1.61,1.71,2.16,2.61,1.7,2.13,5.49,6.28,4.7,5.35,3.52,4.16,2.87,3.06,0.72,0.78,0.66,0.74,0.73,0.81,0.64,0.74,1.65,1.7,1.59,1.59,2.04,2.09,1.98,2,5.33,6.02,4.63,4.87,1.81,2.09,1.53,1.76,5.8,6.39,5.21,5.76,3.01,3.55,2.48,3.52,1.91,1.98,1.84,1.91,2.19,2.4,1.98,2.17,7.45,8.15,6.76,7.58,2.41,3.08,1.74,2.35,2.4,2.77,2.04,2.39,2.14,2.49,1.91,2.49,2.91,3.35,2.48,2.69,5.54,6.24,4.85,4.98,5.4,5.59,5.21,5.24,0.97,1.02,0.92,0.94
PNG,Papua New Guinea,Banz,Banz,Banz,-5.8007167,144.6230793,gid_-580071446231,01/10/2017,2017,10,PGK,"aibika (1 unit, Index Weight = 1), amaranthus_aupa (1 unit, Index Weight = 1), banana_cooking (1 unit, Index Weight = 1), banana_ripe (1 unit, Index Weight = 1), cabbage_english (1 unit, Index Weight = 1), capsicum (1 unit, Index Weight = 1), carrot (1 unit, Index Weight = 1), cassava (1 unit, Index Weight = 1), choko_tips (1 unit, Index Weight = 1), cucumber (1 unit, Index Weight = 1), fern (1 unit, Index Weight = 1), ginger (1 unit, Index Weight = 1), lemon (1 unit, Index Weight = 1), onion_bulb (1 unit, Index Weight = 1), orange (1 unit, Index Weight = 1), pakchoi (1 unit, Index Weight = 1), pawpaw (1 unit, Index Weight = 1), peanut (1 unit, Index Weight = 1), pineapple (1 unit, Index Weight = 1), potato (1 unit, Index Weight = 1), pumpkin_tips (1 unit, Index Weight = 1), taro_true (1 unit, Index Weight = 1), tomato (1 unit, Index Weight = 1), watermelons (1 unit, Index Weight = 1)",Apr/17,Jul/22,51.8,52.15,0.76,1,,,,,,,,,,,,,,,,,,,,,,,,,2.58,2.89,2.27,2.51,2.31,2.49,2.11,2.11,2.89,3.14,2.63,3.05,1.74,1.94,1.54,1.74,2.14,2.6,1.67,1.91,5.4,6.18,4.62,5.15,3.15,3.69,2.62,3.13,0.73,0.79,0.67,0.75,0.74,0.82,0.65,0.75,1.56,1.64,1.5,1.64,1.97,2.14,1.92,2.14,5.07,5.67,4.47,5.04,1.89,2.17,1.62,1.77,5.76,6.36,5.17,5.89,3.57,4.15,2.99,3.39,1.9,1.96,1.83,1.92,2.18,2.39,1.97,2.22,7.43,8.13,6.72,7.68,2.34,2.99,1.68,2.34,2.4,2.77,2.04,2.31,2.55,3.6,2.46,3.6,2.78,3.18,2.38,2.92,5.08,5.68,4.48,5.3,5.12,5.31,4.93,5.31,0.95,1,0.9,0.97
