year,month,day,date,market,crop,unitprice,movingave_a,movingave_b*,movingave_c,movingave_d,movingave_e,movingave_f
2022,7,28,28/07/2022,Port Moresby,Aibika,3.69,3.30,3.30,3.30,3.30,3.30,
2022,7,28,28/07/2022,Port Moresby,Banana-Cooking,3.90,3.59,3.59,3.59,3.59,3.59,
2022,7,28,28/07/2022,Port Moresby,Banana-Ripe,3.41,2.86,2.86,2.86,2.86,2.86,
2022,7,28,28/07/2022,Port Moresby,Broccoli,23.05,21.55,21.55,21.55,,,
2022,7,28,28/07/2022,Port Moresby,Cabbage-English,5.25,5.06,5.06,5.06,5.06,5.06,
2022,7,28,28/07/2022,Port Moresby,Capsicum,22.64,18.30,18.30,18.30,18.30,18.30,
2022,7,28,28/07/2022,Port Moresby,Carrot,10.00,10.75,10.75,10.75,10.75,10.75,
2022,7,28,28/07/2022,Port Moresby,Cassava,3.62,4.12,4.12,4.12,4.12,4.12,
2022,7,28,28/07/2022,Port Moresby,Choko-Tips,8.24,7.39,7.39,7.39,7.39,7.39,
2022,7,28,28/07/2022,Port Moresby,Lemon,12.17,11.47,11.47,11.47,11.47,11.47,
2022,7,28,28/07/2022,Port Moresby,Onion Bulb,5.18,7.80,7.80,7.80,7.80,7.80,
2022,7,28,28/07/2022,Port Moresby,Pakchoi,4.92,7.83,7.83,7.83,7.83,7.83,
2022,7,28,28/07/2022,Port Moresby,Pawpaw,4.61,3.82,3.82,3.82,3.82,3.82,
2022,7,28,28/07/2022,Port Moresby,Peanut,14.23,12.83,12.83,12.83,12.83,12.83,
2022,7,28,28/07/2022,Port Moresby,Pineapple,17.65,14.41,14.41,14.41,14.41,14.41,
2022,7,28,28/07/2022,Port Moresby,Potato,6.19,4.75,4.75,4.75,4.75,4.75,
2022,7,28,28/07/2022,Port Moresby,Rice,5.20,5.20,5.20,5.20,5.20,5.20,
2022,7,28,28/07/2022,Port Moresby,Sweet Potato,2.79,2.75,2.75,2.75,2.75,2.75,
2022,7,28,28/07/2022,Port Moresby,Taro True,10.32,8.34,8.34,8.34,8.34,8.34,
2022,7,28,28/07/2022,Port Moresby,Tomato,10.55,12.16,12.16,12.16,12.16,12.16,
2022,7,28,28/07/2022,Port Moresby,Watermelon,7.03,6.21,6.21,6.21,6.21,6.21,
2022,7,24,24/07/2022,Port Moresby,Aibika,3.50,3.30,3.30,3.30,3.30,3.30,
2022,7,24,24/07/2022,Port Moresby,Banana-Cooking,2.31,3.59,3.59,3.59,3.59,3.59,
2022,7,24,24/07/2022,Port Moresby,Banana-Ripe,2.42,2.86,2.86,2.86,2.86,2.86,
2022,7,24,24/07/2022,Port Moresby,Cabbage-English,6.17,5.06,5.06,5.06,5.06,5.06,
2022,7,24,24/07/2022,Port Moresby,Capsicum,18.09,18.30,18.30,18.30,18.30,18.30,
2022,7,24,24/07/2022,Port Moresby,Carrot,13.40,10.75,10.75,10.75,10.75,10.75,
2022,7,24,24/07/2022,Port Moresby,Cassava,3.25,4.12,4.12,4.12,4.12,4.12,
2022,7,24,24/07/2022,Port Moresby,Choko-Tips,6.42,7.39,7.39,7.39,7.39,7.39,
2022,7,24,24/07/2022,Port Moresby,Lemon,14.83,11.47,11.47,11.47,11.47,11.47,
2022,7,24,24/07/2022,Port Moresby,Onion Bulb,10.72,7.80,7.80,7.80,7.80,7.80,
