,url,date,title
0,https://vbr.vu/news/better-homes-more-productive-workers/,2022-05-28 23:50:00,"Better homes, more productive workers"
1,https://vbr.vu/news/vodafone-to-provide-internet-to-usp-nuv-soe/,2022-05-28 23:42:00,"Vodafone to provide internet to USP, NUV, SOE"
2,https://vbr.vu/news/call-for-nationwide-consultation-on-proposed-severance-pay-increase-for-private-sector/,2022-05-28 00:05:00,Call for nationwide consultation on proposed severance pay increase for private sector
3,https://vbr.vu/news/over-200-locals-engaged-in-vt4-billion-vmf-project/,2022-05-27 23:14:00,Over 200 locals engaged in VT4 Billion VMF Project
4,https://vbr.vu/news/eu-to-assist-vanuatu-out-of-suspension/,2022-05-27 23:08:00,EU TO ASSIST VANUATU OUT OF SUSPENSION
5,https://vbr.vu/news/diesel-price-increases-in-2-months/,2022-05-26 22:51:00,Diesel price increases in 2 months
6,https://vbr.vu/news/hospitality-industry-lacking-skilled-workers/,2022-05-24 00:19:00,Hospitality Industry lacking skilled workers
7,https://vbr.vu/news/push-for-a-total-marine-ban-in-port-vila-harbour/,2022-05-24 00:04:00,Push for a total marine ban in Port Vila harbour
8,https://vbr.vu/news/port-vila-returning-to-normal/,2022-05-23 23:43:00,Port Vila returning to normal
9,https://vbr.vu/news/aptc-hosts-successful-gedsi-forum/,2022-05-21 23:27:00,APTC hosts successful GEDSI Forum
10,https://vbr.vu/news/titan-fx-a-gold-sponsor-for-2022-smart-sistas-girls-ict-camp/,2022-06-10 23:03:00,Titan FX a Gold sponsor for 2022 SMART Sistas Girls ICT Camp
11,https://vbr.vu/news/another-flour-shortage-in-the-capital/,2022-06-10 23:00:00,Another flour shortage in the capital
12,https://vbr.vu/news/new-daily-post-digital-network-premium-subscription/,2022-06-10 02:24:00,New Daily Post Digital Network Premium Subscription
13,https://vbr.vu/news/48-year-old-price-control-act-to-be-repealed/,2022-06-08 23:29:00,48-YEAR-OLD PRICE CONTROL ACT TO BE REPEALED
14,https://vbr.vu/news/an-agency-for-unemployed-graduates/,2022-06-07 23:24:00,An Agency for Unemployed Graduates
15,https://vbr.vu/news/govt-eyes-minimum-wage-increase/,2022-05-30 04:28:00,GOV’T EYES MINIMUM WAGE INCREASE
16,https://vbr.vu/news/vanuatu-becomes-10th-country-to-ratify-pacer-plus-agreement/,2022-05-30 02:00:00,Vanuatu becomes 10th country to ratify Pacer Plus Agreement
17,https://vbr.vu/news/santo-tourism-association-looks-forward-to-resumption-of-international-flights/,2022-05-28 23:56:00,Santo Tourism Association looks forward to resumption of international flights
18,https://vbr.vu/news/digicel-donates-vt200000-to-help-feed-single-mothers-and-widowers/,2022-05-07 00:39:00,"Digicel donates VT200,000 to help feed single mothers and widowers"
19,https://vbr.vu/news/pacific-parliamentarians-alliance-on-deep-sea-mining-calls-for-more-commitments/,2022-05-07 00:36:00,Pacific Parliamentarians Alliance on Deep Sea Mining calls for more commitments
20,https://vbr.vu/news/nuv-and-vanipo-develop-academic-and-educational-cooperation/,2022-05-07 00:33:00,NUV and VanIPO develop academic and educational cooperation
21,https://vbr.vu/news/pacific-labour-mobility-growth-winners-and-losers/,2022-05-07 00:28:00,Pacific labour mobility growth: winners and losers
22,https://vbr.vu/news/ccecc-clears-site-for-national-agriculture-and-trade-show/,2022-05-07 00:24:00,CCECC clears site for National Agriculture and Trade Show
23,https://vbr.vu/news/internews-and-pacific-community-partner-to-strengthen-and-support-regional-media/,2022-05-07 00:16:00,Internews and Pacific Community partner to strengthen and support regional media
24,https://vbr.vu/news/manples-market-seeks-financial-aid-for-office/,2022-05-06 04:39:00,Manples Market seeks financial aid for Office
25,https://vbr.vu/news/govt-eyes-fuel-depot-investment/,2022-05-06 04:36:00,GOV’T EYES FUEL DEPOT INVESTMENT
26,https://vbr.vu/news/pacer-plus-implementation-unit-partners-with-pacific-tourism-organisation/,2022-05-06 04:30:00,PACER Plus Implementation Unit partners with Pacific Tourism Organisation
27,https://vbr.vu/news/all-starlink-equipment-to-be-returned-if-trbr-denies-licence-after-soe/,2023-06-17 08:00:00,All Starlink Equipment To Be Returned if TRBR Denies Licence after SOE
28,https://vbr.vu/news/starlink-registers-trademark-in-vanuatu/,2023-06-14 08:00:00,Starlink Registers Trademark in Vanuatu
29,https://vbr.vu/news/vanuatu-banking-sector-recovers/,2023-05-31 04:38:00,Vanuatu Banking Sector Recovers
30,https://vbr.vu/news/vanuatu-based-pcs-company-debarred-from-world-bank-for-fraudulent-practices/,2023-04-18 08:30:00,Vanuatu-based PCS company debarred from World Bank for fraudulent practices
31,https://vbr.vu/news/south-africas-wanted-fugitives-now-vanuatu-citizens/,2023-04-13 08:00:00,South Africa’s wanted fugitives now Vanuatu citizens.
32,https://vbr.vu/news/police-probe-alleged-fraud/,2023-04-12 08:00:00,POLICE PROBE ALLEGED FRAUD
33,https://vbr.vu/news/local-entrepreneur-fined-vt1-million-over-development-operations/,2023-04-11 08:00:00,Local Entrepreneur Fined VT1 Million Over Development Operations
34,https://vbr.vu/news/solomon-airlines-lends-a-helping-wing-to-air-vanuatu/,2023-04-08 08:00:00,Solomon Airlines lends a helping wing to Air Vanuatu
35,https://vbr.vu/news/air-vanuatu-faces-over-vt100m-loss-due-to-boeing-737-engineering-problem-and-flight-cancellations/,2023-04-08 07:50:00,Air Vanuatu faces over VT100M loss due to Boeing 737 engineering problem and flight cancellations
36,https://vbr.vu/news/mps-take-charge-of-committees-probing-government-spending-foreign-policy-and-more/,2023-04-08 07:30:00,"MPs Take Charge of Committees Probing Government Spending, Foreign Policy, and More"
37,https://vbr.vu/news/15-vessels-detained/,2023-08-02 22:46:00,15 Vessels Detained
38,https://vbr.vu/news/second-stop-work-notice-issued-on-illegal-jetty-development-at-havannah/,2023-08-02 22:44:00,Second ‘Stop Work’ Notice Issued on Illegal Jetty Development at Havannah
39,https://vbr.vu/news/pacific-peering-partners-with-icl-for-tam-tam-cables-smart-component/,2023-08-02 22:41:00,Pacific Peering Partners with ICL for TAM-TAM Cable’s SMART Component
40,https://vbr.vu/news/vanuatu-tok-tok-2023-rebuilding-tourism-connecting-businesses-and-inspiring-international-visitors/,2023-08-02 22:39:00,"Vanuatu TOK TOK 2023: Rebuilding Tourism, Connecting Businesses, and Inspiring International Visitors"
41,https://vbr.vu/news/tiv-urges-family-meal-time-to-strengthen-parent-child-bond-amid-phone-addictions/,2023-08-01 22:35:00,TIV Urges Family Meal Time to Strengthen Parent-Child Bond Amid Phone Addictions
42,https://vbr.vu/news/buy-made-in-vanuatu-souvenirs-at-handikraf-senta-and-mahitahi-haos/,2023-07-28 22:31:00,Buy ‘Made in Vanuatu’ Souvenirs at Handikraf Senta and Mahitahi Haos
43,https://vbr.vu/news/oxfams-vt1-5m-funding-to-boost-teouma-bush-root-crops-farmers-production/,2023-07-20 22:56:00,Oxfam’s VT1.5M Funding to Boost Teouma Bush Root Crops Farmers’ Production
44,https://vbr.vu/news/vt1m-sponsorship-to-macfest-part-of-vnpfs-social-responsibility-edwin/,2023-07-20 00:37:00,VT1M sponsorship to MACFEST part of VNPF’s social responsibility: Edwin
45,https://vbr.vu/news/vanuatu-ferry-ii-to-resume-services-tomorrow/,2023-07-20 00:34:00,Vanuatu Ferry II to resume services tomorrow
46,https://vbr.vu/news/vanuatu-ferry-ii-detained/,2023-07-18 03:42:00,Vanuatu Ferry II Detained
47,https://vbr.vu/news/air-vanuatu-to-introduce-new-schedule-on-july-1/,2022-05-06 04:28:00,Air Vanuatu to introduce new schedule on July 1
48,https://vbr.vu/news/1-3-members-interest-for-2020/,2022-05-05 04:23:00,1.3% members’ interest for 2020
49,https://vbr.vu/news/business-owner-welcomes-lifting-of-curfew/,2022-05-05 04:21:00,Business owner welcomes lifting of curfew
50,https://vbr.vu/news/peace-corps-hosts-another-successful-sexual-assault-awareness-month-online-webinar/,2022-05-05 00:30:00,Peace Corps hosts another successful Sexual Assault Awareness Month Online Webinar
51,https://vbr.vu/news/oxfam-vanuatu-changing-perceptions-on-gender-inclusion/,2022-05-03 00:48:00,Oxfam Vanuatu changing perceptions on gender inclusion
52,https://vbr.vu/news/vanuatu-agritourism-wins-global-award/,2022-04-30 00:42:00,Vanuatu Agritourism wins Global Award
53,https://vbr.vu/news/vanuatu-to-begin-quarantine-free-travel-from-july-1/,2022-04-30 00:39:00,Vanuatu to begin quarantine-free travel from July 1
54,https://vbr.vu/news/energy-efficiency-key-enabler-to-address-covid-19-pandemic-and-increasing-fuel-price/,2022-04-30 00:36:00,Energy Efficiency – Key enabler to address COVID-19 pandemic and increasing fuel price
55,https://vbr.vu/news/would-you-buy-a-property-online/,2022-04-30 00:31:00,Would you buy a property online?
56,https://vbr.vu/news/27-repatriation-flights-from-april-to-june/,2022-04-27 22:42:00,27 Repatriation Flights From April to June
57,https://vbr.vu/news/the-tourism-industry-still-getting-back-on-its-feet/,2022-08-02 00:03:00,The Tourism Industry still getting back on its feet
58,https://vbr.vu/news/wanfuteng-bank-is-proud-to-celebrate-its-4th-anniversary-after-opening-its-doors-to-the-public-in-july-2018/,2022-07-05 23:56:00,Wanfuteng Bank is proud to celebrate its 4th Anniversary after opening its doors to the public in July 2018.
59,https://vbr.vu/news/international-border-closure-ends-this-week/,2022-06-28 22:42:00,International border closure ends this week
60,https://vbr.vu/news/wantok-first-aelansat-retailer-in-vanuatu/,2022-06-25 22:08:00,WanTok First AelanSat Retailer in Vanuatu
61,https://vbr.vu/news/business-establishment-census-pilot-starts-on-monday/,2022-06-25 22:03:00,Business Establishment Census Pilot starts on Monday
62,https://vbr.vu/news/pacer-plus-releases-4-year-strategic-plan/,2022-06-25 22:01:00,PACER Plus releases 4-year strategic plan
63,https://vbr.vu/news/crave-celebrates-8th-anniversary/,2022-06-25 21:56:00,Crave celebrates 8th Anniversary
64,https://vbr.vu/news/3rd-through-the-lens-film-celebrates-vanuatu-tourism-office-ceo/,2022-06-25 21:52:00,3rd Through the Lens Film celebrates Vanuatu Tourism Office CEO
65,https://vbr.vu/news/world-bank-approves-vt1-18b-for-vanuatus-recovery-and-resilience-boost/,2022-06-24 21:42:00,World Bank approves VT1.18B for Vanuatu’s recovery and resilience boost
66,https://vbr.vu/news/musicians-dream-now-a-reality/,2022-06-22 22:28:00,Musicians’ Dream Now A Reality
67,https://vbr.vu/news/vodafone-network-coverage-impeding-communication-in-west-epi/,2023-07-18 03:37:00,Vodafone Network Coverage Impeding Communication in West Epi
68,https://vbr.vu/news/itl-harnesses-networking-and-stakeholder-engagement-to-boost-port-operations/,2023-07-18 03:35:00,ITL harnesses networking and stakeholder engagement to boost port operations
69,https://vbr.vu/news/tiv-embarks-on-public-awareness-tour/,2023-07-18 03:32:00,TIV Embarks on Public Awareness Tour
