,country,date,seats_arrivals_domestic,seats_arrivals_intl,seats_arrivals_total
0,Palau,2019-01-01,0.0,442.0,442.0
1,Palau,2019-01-02,0.0,697.0,697.0
2,Palau,2019-01-03,0.0,588.0,588.0
3,Palau,2019-01-04,0.0,442.0,442.0
4,Palau,2019-01-05,0.0,332.0,332.0
5,Palau,2019-01-06,0.0,637.0,637.0
6,Palau,2019-01-07,0.0,126.0,126.0
7,Palau,2019-01-08,0.0,442.0,442.0
8,Palau,2019-01-09,0.0,498.0,498.0
9,Palau,2019-01-10,0.0,705.0,705.0
10,Palau,2019-01-11,0.0,292.0,292.0
11,Palau,2019-01-12,0.0,482.0,482.0
12,Palau,2019-01-13,0.0,438.0,438.0
13,Palau,2019-01-14,0.0,353.0,353.0
14,Palau,2019-01-15,0.0,292.0,292.0
15,Palau,2019-01-16,0.0,498.0,498.0
16,Palau,2019-01-17,0.0,588.0,588.0
17,Palau,2019-01-18,0.0,292.0,292.0
18,Palau,2019-01-19,0.0,332.0,332.0
19,Palau,2019-01-20,0.0,438.0,438.0
20,Palau,2019-01-21,0.0,126.0,126.0
21,Palau,2019-01-22,0.0,442.0,442.0
22,Palau,2019-01-23,0.0,498.0,498.0
23,Palau,2019-01-24,0.0,478.0,478.0
24,Palau,2019-01-25,0.0,292.0,292.0
25,Palau,2019-01-26,0.0,482.0,482.0
26,Palau,2019-01-27,0.0,438.0,438.0
27,Palau,2019-01-28,0.0,0.0,0.0
28,Palau,2019-01-29,0.0,292.0,292.0
29,Palau,2019-01-30,0.0,458.0,458.0
30,Palau,2019-01-31,0.0,628.0,628.0
31,Palau,2019-02-01,0.0,464.0,464.0
32,Palau,2019-02-02,0.0,332.0,332.0
33,Palau,2019-02-03,0.0,478.0,478.0
34,Palau,2019-02-04,0.0,306.0,306.0
35,Palau,2019-02-05,0.0,600.0,600.0
36,Palau,2019-02-06,0.0,458.0,458.0
37,Palau,2019-02-07,0.0,478.0,478.0
38,Palau,2019-02-08,0.0,292.0,292.0
39,Palau,2019-02-09,0.0,640.0,640.0
40,Palau,2019-02-10,0.0,438.0,438.0
41,Palau,2019-02-11,0.0,346.0,346.0
42,Palau,2019-02-12,0.0,562.0,562.0
43,Palau,2019-02-13,0.0,498.0,498.0
44,Palau,2019-02-14,0.0,588.0,588.0
45,Palau,2019-02-15,0.0,472.0,472.0
46,Palau,2019-02-16,0.0,546.0,546.0
47,Palau,2019-02-17,0.0,438.0,438.0
48,Palau,2019-02-18,0.0,464.0,464.0
49,Palau,2019-02-19,0.0,442.0,442.0
50,Palau,2019-02-20,0.0,789.0,789.0
51,Palau,2019-02-21,0.0,459.0,459.0
52,Palau,2019-02-22,0.0,292.0,292.0
53,Palau,2019-02-23,0.0,503.0,503.0
54,Palau,2019-02-24,0.0,652.0,652.0
55,Palau,2019-02-25,0.0,324.0,324.0
56,Palau,2019-02-26,0.0,292.0,292.0
57,Palau,2019-02-27,0.0,519.0,519.0
58,Palau,2019-02-28,0.0,609.0,609.0
59,Palau,2019-03-01,0.0,292.0,292.0
60,Palau,2019-03-02,0.0,353.0,353.0
61,Palau,2019-03-03,0.0,478.0,478.0
62,Palau,2019-03-04,0.0,284.0,284.0
63,Palau,2019-03-05,0.0,442.0,442.0
64,Palau,2019-03-06,0.0,324.0,324.0
