,Year,Month,Number_of_flights_intl,Number_of_flights_total,Seats_arrivals_intl,Seats_arrivals_total,Total,American Samoa,Australia,Europe,New Zealand,USA,Other Countries,Cruise ships
0,2019,1,90,93,26332,26389,13755,1116,3434,612,6290,862,1441,500
1,2019,2,71,84,17320,17681,9044,968,1820,458,3645,594,1559,2180
2,2019,3,85,109,20843,21546,11163,1089,2481,716,4400,981,1496,6730
3,2019,4,84,117,20801,21751,14413,1204,3122,658,6887,827,1715,2519
4,2019,5,85,115,20843,21679,13565,1215,3143,492,5742,962,2011,0
5,2019,6,88,110,21228,21874,16192,1683,3444,406,6695,1618,2346,0
6,2019,7,112,154,29238,30302,24647,2300,4175,942,8898,2123,6209,0
7,2019,8,87,110,22889,23497,17489,1958,3548,739,7785,1391,2068,0
8,2019,9,83,108,22432,23116,16212,990,4112,491,7579,702,2338,0
9,2019,10,84,107,21797,22424,14544,1156,2920,402,6539,997,2530,0
10,2019,11,82,96,20049,20334,11907,673,2539,484,4921,1102,2188,1283
11,2019,12,94,115,27241,27659,17927,608,5432,383,8674,1192,1638,0
12,2020,1,91,99,25747,25937,10456,645,2861,264,4600,662,1424,0
13,2020,2,66,73,15636,15769,7053,414,1757,307,2919,479,1177,0
14,2020,3,44,48,9785,9880,4164,234,995,122,1675,253,885,0
15,2020,4,2,2,378,378,0,0,0,0,0,0,0,0
16,2020,5,5,6,923,942,0,0,0,0,0,0,0,0
17,2020,6,5,7,963,1001,0,0,0,0,0,0,0,0
18,2020,7,5,8,1483,1559,0,0,0,0,0,0,0,0
19,2020,8,7,7,1660,1660,0,0,0,0,0,0,0,0
20,2020,9,4,5,1154,1173,0,0,0,0,0,0,0,0
21,2020,10,6,7,1758,1796,0,0,0,0,0,0,0,0
22,2020,11,4,5,1208,1227,0,0,0,0,0,0,0,0
23,2020,12,7,7,1880,1880,0,0,0,0,0,0,0,0
24,2021,1,7,7,2006,2006,0,0,0,0,0,0,0,0
25,2021,2,6,6,1419,1419,0,0,0,0,0,0,0,0
26,2021,3,6,10,1365,1498,0,0,0,0,0,0,0,0
27,2021,4,9,16,2186,2566,0,0,0,0,0,0,0,0
28,2021,5,4,8,1157,1252,0,0,0,0,0,0,0,0
29,2021,6,8,10,2159,2273,0,0,0,0,0,0,0,0
30,2021,7,6,7,1748,1767,0,0,0,0,0,0,0,0
31,2021,8,6,9,1648,1743,0,0,0,0,0,0,0,0
32,2021,9,7,8,1931,1950,0,0,0,0,0,0,0,0
33,2021,10,8,10,2028,2104,0,0,0,0,0,0,0,0
34,2021,11,8,10,2426,2502,0,0,0,0,0,0,0,0
35,2021,12,9,11,2317,2431,0,0,0,0,0,0,0,0
36,2022,1,4,7,1176,1309,0,0,0,0,0,0,0,0
37,2022,2,5,6,1483,1521,0,0,0,0,0,0,0,0
38,2022,3,9,11,2407,2445,0,0,0,0,0,0,0,0
39,2022,4,5,7,1500,1576,0,0,0,0,0,0,0,0
40,2022,5,9,14,2398,2607,0,0,0,0,0,0,0,0
41,2022,6,17,19,3322,3360,0,0,0,0,0,0,0,0
42,2022,7,32,36,3620,3715,0,0,0,0,0,0,0,0
43,2022,8,62,64,9240,9278,6228,692,1657,126,2641,382,730,0
44,2022,9,62,67,9923,10056,8130,697,1827,109,3925,714,858,0
