,Year,Air,Ship,Yacht,Total,date
0,2010,3158,646.0,4.0,3808,2010-01-01
1,2010,2379,0.0,5.0,2384,2010-02-01
2,2010,3134,853.0,5.0,3992,2010-03-01
3,2010,2818,2802.0,30.0,5650,2010-04-01
4,2010,3670,5303.0,177.0,9150,2010-05-01
5,2010,4701,0.0,275.0,4976,2010-06-01
6,2010,4900,0.0,238.0,5138,2010-07-01
7,2010,4216,0.0,246.0,4462,2010-08-01
8,2010,4576,5275.0,188.0,10039,2010-09-01
9,2010,3467,0.0,352.0,3819,2010-10-01
10,2010,3569,1386.0,126.0,5081,2010-11-01
11,2010,6493,0.0,13.0,6506,2010-12-01
12,2011,2844,,2.0,2846,2011-01-01
13,2011,2302,6847.0,14.0,9163,2011-02-01
14,2011,2477,1407.0,16.0,3900,2011-03-01
15,2011,3520,3038.0,37.0,6595,2011-04-01
16,2011,3812,0.0,250.0,4062,2011-05-01
17,2011,4323,0.0,242.0,4565,2011-06-01
18,2011,5280,2376.0,239.0,7895,2011-07-01
19,2011,4486,0.0,419.0,4905,2011-08-01
20,2011,3561,0.0,242.0,3803,2011-09-01
21,2011,3155,4387.0,257.0,7799,2011-10-01
22,2011,2996,0.0,112.0,3108,2011-11-01
23,2011,7249,2464.0,19.0,9732,2011-12-01
24,2012,3043,0.0,0.0,3043,2012-01-01
25,2012,2241,1220.0,4.0,3465,2012-02-01
26,2012,2629,865.0,15.0,3509,2012-03-01
27,2012,3022,3063.0,44.0,6129,2012-04-01
28,2012,3497,0.0,302.0,3799,2012-05-01
29,2012,4892,0.0,182.0,5074,2012-06-01
30,2012,5789,0.0,235.0,6024,2012-07-01
31,2012,4286,0.0,254.0,4540,2012-08-01
32,2012,4156,0.0,351.0,4507,2012-09-01
33,2012,3909,1817.0,315.0,6041,2012-10-01
34,2012,4052,618.0,86.0,4756,2012-11-01
35,2012,5941,374.0,28.0,6343,2012-12-01
36,2013,2927,922.0,9.0,3858,2013-01-01
37,2013,2621,1310.0,2.0,3933,2013-02-01
38,2013,2797,626.0,11.0,3434,2013-03-01
39,2013,3088,3205.0,50.0,6343,2013-04-01
40,2013,3965,0.0,328.0,4293,2013-05-01
41,2013,4693,700.0,182.0,5575,2013-06-01
42,2013,5415,0.0,282.0,5697,2013-07-01
43,2013,4753,0.0,305.0,5058,2013-08-01
44,2013,4068,1954.0,339.0,6361,2013-09-01
45,2013,4037,0.0,403.0,4440,2013-10-01
46,2013,3395,715.0,121.0,4231,2013-11-01
47,2013,6429,0.0,13.0,6442,2013-12-01
48,2014,3259,1446.0,3.0,4708,2014-01-01
49,2014,2441,3677.0,24.0,6142,2014-02-01
50,2014,2484,1817.0,10.0,4311,2014-03-01
51,2014,3363,2224.0,57.0,5644,2014-04-01
52,2014,4189,260.0,243.0,4692,2014-05-01
53,2014,4463,1739.0,256.0,6458,2014-06-01
54,2014,5477,0.0,233.0,5710,2014-07-01
55,2014,5090,0.0,201.0,5291,2014-08-01
56,2014,4779,308.0,209.0,5296,2014-09-01
57,2014,4102,1760.0,307.0,6169,2014-10-01
58,2014,3488,199.0,81.0,3768,2014-11-01
59,2014,7301,303.0,8.0,7612,2014-12-01
60,2015,3343,2935.0,20.0,6298,2015-01-01
61,2015,2381,2373.0,23.0,4777,2015-02-01
62,2015,2944,2011.0,6.0,4961,2015-03-01
63,2015,3642,1940.0,31.0,5613,2015-04-01
64,2015,3820,555.0,203.0,4578,2015-05-01
65,2015,5898,1757.0,155.0,7810,2015-06-01
66,2015,5961,0.0,176.0,6137,2015-07-01
67,2015,4809,0.0,231.0,5040,2015-08-01
68,2015,4915,1953.0,282.0,7150,2015-09-01
69,2015,4045,3460.0,203.0,7708,2015-10-01
70,2015,3550,291.0,96.0,3937,2015-11-01
71,2015,8444,100.0,0.0,8544,2015-12-01
72,2016,3581,0.0,0.0,3581,2016-01-01
73,2016,3259,5474.0,0.0,8733,2016-02-01
74,2016,3315,1411.0,4.0,4730,2016-03-01
75,2016,3537,3690.0,8.0,7235,2016-04-01
76,2016,5220,0.0,245.0,5465,2016-05-01
77,2016,6763,1784.0,259.0,8806,2016-06-01
78,2016,6103,0.0,187.0,6290,2016-07-01
79,2016,5880,1394.0,314.0,7588,2016-08-01
80,2016,5185,0.0,359.0,5544,2016-09-01
81,2016,4298,6630.0,342.0,11270,2016-10-01
82,2016,5880,1394.0,314.0,7588,2016-11-01
83,2016,8108,5155.0,12.0,13275,2016-12-01
84,2017,3351,2187.0,8.0,5546,2017-01-01
85,2017,2936,3642.0,0.0,6578,2017-02-01
86,2017,2560,3839.0,10.0,6409,2017-03-01
87,2017,3840,315.0,23.0,4178,2017-04-01
88,2017,5256,1371.0,210.0,6837,2017-05-01
89,2017,6545,1690.0,363.0,8598,2017-06-01
90,2017,6276,0.0,335.0,6611,2017-07-01
91,2017,6810,1354.0,288.0,8452,2017-08-01
92,2017,6390,3719.0,625.0,10734,2017-09-01
93,2017,4639,2425.0,383.0,7447,2017-10-01
94,2017,4278,1177.0,83.0,5538,2017-11-01
95,2017,9625,0.0,26.0,9651,2017-12-01
96,2018,4294,3346.0,0.0,7640,2018-01-01
97,2018,2336,1520.0,0.0,3856,2018-02-01
98,2018,2835,3062.0,14.0,5911,2018-03-01
99,2018,3099,2344.0,34.0,5477,2018-04-01
100,2018,4348,627.0,166.0,5141,2018-05-01
101,2018,4785,3318.0,305.0,8408,2018-06-01
102,2018,7011,1861.0,174.0,9046,2018-07-01
103,2018,5855,0.0,252.0,6107,2018-08-01
104,2018,5061,0.0,256.0,5317,2018-09-01
105,2018,4504,4746.0,295.0,9545,2018-10-01
106,2018,3636,884.0,50.0,4570,2018-11-01
107,2018,6282,0.0,6.0,6288,2018-12-01
0,2019,4372,313.0,3.0,4688,2019-01-01 00:00:00
1,2019,2709,3448.0,0.0,6157,2019-02-01 00:00:00
2,2019,3109,5570.0,7.0,8686,2019-03-01 00:00:00
3,2019,4183,3508.0,13.0,7704,2019-04-01 00:00:00
4,2019,5166,1506.0,128.0,6800,2019-05-01 00:00:00
5,2019,6647,1798.0,489.0,8934,2019-06-01 00:00:00
6,2019,8121,0.0,194.0,8315,2019-07-01 00:00:00
7,2019,7890,0.0,288.0,8178,2019-08-01 00:00:00
8,2019,6811,636.0,382.0,7829,2019-09-01 00:00:00
9,2019,5649,2178.0,428.0,8255,2019-10-01 00:00:00
10,2019,4938,2712.0,72.0,7722,2019-11-01 00:00:00
11,2019,7689,2998.0,17.0,10704,2019-12-01 00:00:00
12,2020,4665,852.0,0.0,5517,2020-01-01 00:00:00
13,2020,3008,1678.0,6.0,4692,2020-02-01 00:00:00
14,2020,1259,0.0,0.0,1259,2020-03-01 00:00:00
15,2020,0,0.0,0.0,0,2020-04-01 00:00:00
16,2020,0,0.0,0.0,0,2020-05-01 00:00:00
17,2020,0,0.0,0.0,0,2020-06-01 00:00:00
18,2020,1,0.0,0.0,1,2020-07-01 00:00:00
19,2020,5,0.0,0.0,5,2020-08-01 00:00:00
20,2020,1,6.0,0.0,16,2020-09-01 00:00:00
21,2020,16,0.0,0.0,16,2020-09-01 00:00:00
22,2020,1,3.0,0.0,13,2020-10-01 00:00:00
23,2020,2,0.0,0.0,20,2020-11-01 00:00:00
24,2020,20,0.0,0.0,20,2020-11-01 00:00:00
25,2020,2,3.0,0.0,23,2020-12-01 00:00:00
26,2021,1,8.0,0.0,18,2021-01-01 00:00:00
27,2021,4,1.0,0.0,41,2021-02-01 00:00:00
28,2021,2,3.0,0.0,23,2021-03-01 00:00:00
29,2021,2,0.0,0.0,2,2021-04-01 00:00:00
30,2021,1,8.0,0.0,18,2021-05-01 00:00:00
31,2021,5,2.0,0.0,52,2021-06-01 00:00:00
32,2021,2,2.0,0.0,22,2021-07-01 00:00:00
33,2021,1,4.0,0.0,14,2021-08-01 00:00:00
34,2021,4,0.0,0.0,4,2021-09-01 00:00:00
35,2021,8,0.0,0.0,8,2021-10-01 00:00:00
36,2021,0,0.0,0.0,0,2021-11-01 00:00:00
37,2021,0,0.0,0.0,0,2021-12-01 00:00:00
