,Country,Total,Distribution,Vacation,Reasons,,,Conference,Friends
0,Australia,713,21.9,233,91,,28.0,47,314
1,New Zealand,"1,720",52.8,424,150,,63.0,104,979
2,Fiji,144,4.4,28,21,,8.0,54,33
3,American Samoa,1,0.0,,0,,,0,1
4,Western Samoa,23,0.7,4,3,,,6,10
5,Other Pacific Islands,37,1.1,1,14,,1.0,8,13
6,Japan,55,1.7,11,9,,,21,14
7,China,59,1.8,28,2,,6.0,9,14
8,India,3,0.1,1,-,,,1,1
9,Korea,6,0.2,2,4,,,-,0
10,Other Asian Countries,36,1.1,8,8,,3.0,6,11
11,UK,48,1.5,29,7,,2.0,5,5
12,Germany,65,2.0,57,-,,,-,8
13,France,23,0.7,11,2,,,9,1
14,Italy,4,0.1,4,-,,,-,0
15,Other European Countries,55,1.7,53,1,-,,-,1
16,All African Countries,2,0.1,1,-,-,,-,1
17,United States of America,240,7.4,61,34,,16.0,18,111
18,Canada,14,0.4,6,4,,,-,4
19,Other American Countries,11,0.3,7,-,,2.0,1,1
