,Country,Total,Distribution,Vacation,Reasons,,,Conference,Friends
0,Australia,663,19.7,260,55,,17.0,70,261
1,New Zealand,"1,624",48.3,504,152,,34.0,96,838
2,Fiji,133,4.0,18,30,,10.0,44,31
3,American Samoa,6,0.2,,1,,,-,5
4,Western Samoa,22,0.7,1,3,,1.0,11,6
5,Other Pacific Islands,23,0.7,2,6,,1.0,11,3
6,Japan,33,1.0,19,5,,2.0,3,4
7,China,87,2.6,17,21,,8.0,19,22
8,India,-,-,,-,,,-,0
9,Korea,12,0.4,10,-,,,-,2
10,Other Asian Countries,59,1.8,34,7,,1.0,8,9
11,UK,30,0.9,22,4,,,3,1
12,Germany,56,1.7,49,1,,,-,6
13,France,11,0.3,9,1,,,-,1
14,Italy,5,0.1,5,-,,,-,0
15,Other European Countries,117,3.5,107,1,-,,4,5
16,All African Countries,4,0.1,1,1,-,,1,1
17,United States of America,430,12.8,97,72,,26.0,51,184
18,Canada,20,0.6,12,1,,1.0,3,3
19,Other American Countries,28,0.8,9,3,,1.0,4,11
