,Country,Total,Distribution,Vacation,Reasons,,Conference,Friends
0,Australia,744,20.4,119,38,111,63,413
1,New Zealand,"1,780",48.9,385,48,394,79,874
2,Fiji,170,4.7,7,40,42,41,40
3,American Samoa,10,0.3,1,-,-,3,6
4,Western Samoa,6,0.2,-,-,2,1,3
5,Other Pacific Islands,59,1.6,2,3,19,20,15
6,Japan,30,0.8,16,6,4,1,3
7,China,56,1.5,8,8,16,16,8
8,India,4,0.1,1,-,-,3,-
9,Korea,13,0.4,2,-,6,2,3
10,Other Asian Countries,55,1.5,11,1,17,20,6
11,UK,76,2.1,46,3,12,4,11
12,Germany,52,1.4,30,1,14,3,4
13,France,29,0.8,11,-,11,3,4
14,Italy,3,0.1,-,-,1,1,1
15,Other European Countries,87,2.4,58,1,13,9,6
16,All African Countries,11,0.3,1,1,8,1,-
17,United States of America,442,12.1,141,23,68,20,190
18,Canada,8,0.2,1,-,2,-,5
19,Other American Countries,7,0.2,3,-,1,3,-
