,Country,Total,Distribution,Vacation,Reasons,,,Conference,Friends
0,Australia,"1,200",20.4,610,53,,,70,467
1,New Zealand,"2,352",40.0,877,194,,1.0,140,1140
2,Fiji,203,3.5,23,49,,2.0,69,60
3,American Samoa,7,0.1,,1,,,6,0
4,Western Samoa,44,0.7,1,5,,,15,23
5,Other Pacific Islands,74,1.3,9,3,-,,34,28
6,Japan,164,2.8,114,7,,1.0,13,29
7,China,188,3.2,60,25,,,42,61
8,India,9,0.2,4,1,,,4,0
9,Korea,45,0.8,9,15,,,21,0
10,Other Asian Countries,88,1.5,59,8,-,,10,11
11,UK,107,1.8,71,6,,1.0,5,24
12,Germany,102,1.7,64,4,,,1,33
13,France,48,0.8,33,,,,6,9
14,Italy,42,0.7,38,,,,4,0
15,Other European Countries,224,3.8,173,2,-,,-,49
16,All African Countries,15,0.3,11,2,-,,-,2
17,United States of America,914,15.5,305,84,,3.0,31,491
18,Canada,37,0.6,24,1,,,5,7
19,Other American Countries,17,0.3,10,1,-,,1,5
