,Country,Total,Distribution,Vacation,Reasons,,,Conference,Friends
0,Australia,991,24.4,584,70,,31.0,78,228
1,New Zealand,"1,927",47.4,914,80,,73.0,202,658
2,Fiji,150,3.7,35,9,,12.0,69,25
3,American Samoa,-,-,-,-,-,,-,-
4,Western Samoa,14,0.3,1,-,-,,11,2
5,Other Pacific Islands,54,1.3,12,3,,1.0,33,5
6,Japan,66,1.6,43,1,,1.0,13,8
7,China,45,1.1,16,6,,3.0,15,5
8,India,4,0.1,-,-,-,,1,3
9,Korea,3,0.1,2,-,-,,-,1
10,Other Asian Countries,38,0.9,27,3,,1.0,6,1
11,UK,117,2.9,79,5,,23.0,6,4
12,Germany,83,2.0,70,-,,6.0,4,3
13,France,16,0.4,5,-,,1.0,9,1
14,Italy,8,0.2,8,-,-,,-,-
15,Other European Countries,106,2.6,101,1,,1.0,3,-
16,All African Countries,2,0.0,1,1,-,,-,-
17,United States of America,410,10.1,150,24,,47.0,48,141
18,Canada,21,0.5,14,-,,2.0,3,2
19,Other American Countries,13,0.3,8,-,,3.0,1,1
