,Country,Total,Distribution,Vacation,,Stated,Conference,Friends
0,Australia,515,16.6,256,70.0,1,48,140
1,New Zealand,"1,317",42.4,697,134.0,9,71,406
2,Fiji,139,4.5,31,37.0,3,46,22
3,American Samoa,3,0.1,2,1.0,0,0,0
4,Western Samoa,14,0.5,4,1.0,0,6,3
5,Other Pacific Islands,39,1.3,11,7.0,0,10,11
6,Japan,94,3.0,59,19.0,0,11,5
7,China,106,3.4,76,5.0,0,18,7
8,India,11,0.4,0,5.0,0,6,0
9,Korea,12,0.4,7,0.0,0,5,0
10,Other Asian Countries,55,1.8,23,15.0,1,13,3
11,UK,56,1.8,39,11.0,0,2,4
12,Germany,37,1.2,34,0.0,0,2,1
13,France,16,0.5,7,0.0,0,9,0
14,Italy,2,0.1,1,1.0,0,0,0
15,Other European Countries,67,2.2,50,8.0,1,5,3
16,All African Countries,10,0.3,9,0.0,0,0,1
17,United States of America,588,18.9,337,86.0,5,22,138
18,Canada,20,0.6,9,5.0,0,3,3
19,Other American Countries,8,0.3,4,0.0,0,4,0
