,date,fiji flights-AU,fiji hotel-AU,fiji travel-AU,fiji flights-NZ,fiji hotel-NZ,fiji travel-NZ,fiji flights-US,fiji hotel-US,fiji travel-US,fiji flights-JP,fiji hotel-JP,fiji travel-JP,fiji flights-HK,fiji hotel-HK,fiji travel-HK,fiji flights-NC,fiji hotel-NC,fiji travel-NC,fiji flights,fiji hotel,fiji travel
0,2004-01-01,31,29,100,61,26,81,33,23,96,0,0,0,0,0,0,0,0,0,8.480769904129888,14.971974648206718,25.64449036889091
1,2004-02-01,35,58,0,0,0,31,20,30,100,0,0,0,0,0,0,0,0,0,8.608252634842136,14.208843165384362,18.19773064563173
2,2004-03-01,28,0,0,0,40,100,0,34,64,0,0,0,0,0,0,0,0,0,9.016481008536186,6.597723980526898,16.537290861572792
3,2004-04-01,0,47,35,19,0,0,16,17,68,0,0,0,0,0,0,0,0,0,9.532213337250873,10.06408263780828,11.832085349084752
4,2004-05-01,26,48,38,39,32,21,0,43,37,0,0,0,0,0,0,0,0,0,8.077286076023922,13.81444971049897,11.136356478683826
5,2004-06-01,22,0,67,45,25,0,30,42,54,0,0,0,0,0,0,0,0,0,13.38809474168468,14.336173097147107,12.684973291182425
6,2004-07-01,19,36,92,0,0,33,16,21,80,0,0,0,0,0,49,0,0,0,8.198826909241383,12.285034394475556,22.6220202045511
7,2004-08-01,19,57,64,49,52,58,26,28,63,0,0,0,0,0,100,0,0,0,14.463881977042462,12.703503092526264,19.219593599023884
8,2004-09-01,35,41,75,28,31,38,0,26,47,0,0,0,0,46,0,0,0,0,9.904531547351608,12.711926668318934,18.802858091642566
9,2004-10-01,20,42,42,24,63,0,53,0,82,0,0,0,0,43,0,0,0,0,4.390791633105547,8.75444915375146,13.451183930081372
10,2004-11-01,27,37,71,30,14,0,48,0,61,0,0,0,0,49,0,0,0,0,7.88990080106126,12.344605255401529,13.0661229380484
11,2004-12-01,0,0,23,28,0,0,0,0,60,0,0,0,0,44,0,0,0,0,6.199525709003961,10.654113709056105,12.872515494155099
12,2005-01-01,25,29,67,43,37,33,27,18,72,0,0,0,0,71,0,0,0,0,8.090504324212688,14.1009674879693,19.498064452311784
13,2005-02-01,22,51,48,37,0,0,38,27,100,0,0,0,0,0,0,0,0,0,9.174854044421377,15.450602096364385,20.592167386823903
14,2005-03-01,28,47,37,0,22,31,15,23,92,0,0,0,0,0,29,0,0,0,8.147427116729624,8.51999080072663,17.182895572065945
15,2005-04-01,25,16,47,15,31,36,20,27,71,0,0,0,0,0,0,0,0,0,11.647340640662787,13.790898274660265,14.61270637763285
16,2005-05-01,24,16,46,40,0,15,16,27,62,0,0,0,0,0,0,0,0,0,11.454643935698058,12.005954960818586,15.386982635981651
17,2005-06-01,24,32,47,0,18,17,31,38,48,0,0,0,0,0,0,0,0,0,12.9539242159979,12.941920387834186,14.712816566223939
18,2005-07-01,24,49,50,25,47,55,44,30,62,0,0,0,0,0,0,0,0,0,9.006499345471752,19.708878464733605,16.64853298101909
19,2005-08-01,36,35,44,0,36,36,0,0,58,0,0,0,0,40,0,0,0,0,8.906061885696177,14.643032118217832,18.899288639045132
20,2005-09-01,58,15,45,0,20,14,0,14,78,0,0,0,0,0,40,0,0,0,8.106274426246914,11.755373665788255,13.172043084515455
21,2005-10-01,15,36,77,29,29,14,14,19,46,0,0,0,0,58,0,0,0,0,6.8029948588600995,9.97553553259593,15.993392628833918
22,2005-11-01,34,43,40,0,18,11,0,31,39,0,0,0,0,0,56,0,0,0,7.712565833341451,12.49985739812124,10.968148162564683
23,2005-12-01,0,36,67,0,12,18,0,9,45,0,0,0,0,33,0,0,0,0,6.359151739378463,9.460909397220822,12.930226634058009
24,2006-01-01,27,41,89,19,43,44,39,18,55,0,0,0,0,0,38,0,0,0,11.77999731785272,14.969792602102228,19.18101459208286
25,2006-02-01,16,33,56,0,0,47,7,20,54,0,0,0,0,0,0,0,0,0,8.267785184566135,8.960603813655888,14.024981751798107
26,2006-03-01,29,47,51,20,12,34,9,16,29,0,0,0,0,0,0,0,0,0,9.860511397455381,10.775064356736435,11.906344462391068
27,2006-04-01,23,35,40,27,15,17,0,18,50,0,0,0,0,0,0,0,0,0,9.618151138285942,12.369377722713258,13.337158321579084
28,2006-05-01,42,44,46,20,18,9,28,25,75,0,0,0,0,0,0,0,0,0,9.749399436732748,11.422971897861888,16.330450549019027
29,2006-06-01,35,67,40,0,32,13,26,24,45,0,0,0,0,0,0,0,0,0,9.84251424773336,13.551656688132642,11.711626924988014
30,2006-07-01,46,53,43,38,0,7,0,43,47,0,0,0,0,0,67,0,0,0,12.686126413476849,13.52206367010569,16.95028027697487
31,2006-08-01,30,40,50,25,15,0,16,0,44,0,0,0,0,26,0,0,0,0,9.414617139787369,11.684624505102569,12.040912833543697
32,2006-09-01,29,38,59,10,27,14,25,25,44,0,0,0,0,0,0,0,0,0,11.336699242486963,12.33646757422835,13.789062219175033
33,2006-10-01,29,36,26,13,20,25,14,22,60,0,0,0,0,0,0,0,0,0,10.166687404976184,11.694401181013612,10.491526105737298
34,2006-11-01,40,20,97,7,27,0,16,26,47,0,0,0,0,0,0,0,0,0,7.382986649008312,9.659850117616744,18.46140134228586
35,2006-12-01,31,14,60,0,18,45,20,14,53,0,0,0,0,0,0,0,0,0,7.524187585613886,7.311243766774884,17.903253486137775
36,2007-01-01,49,22,52,31,27,40,18,35,80,0,0,0,0,44,19,0,0,0,10.859472170857648,7.815734079226459,16.688609775008
37,2007-02-01,21,50,39,10,10,27,24,31,50,0,0,0,0,0,27,0,0,0,7.118591939799612,9.861953153559258,13.499839135818252
38,2007-03-01,22,30,35,31,8,10,12,47,44,0,0,0,0,0,0,0,0,0,8.46302138632203,11.103099225655814,11.166485184096105
39,2007-04-01,29,30,25,10,7,24,25,21,54,0,0,0,0,0,0,0,0,0,7.4624627218981034,7.4280839005116786,11.689525460505495
40,2007-05-01,34,41,46,6,8,14,22,25,32,0,0,0,0,0,11,0,0,0,9.070926010950082,8.799349178183151,10.805994497747191
41,2007-06-01,36,37,38,15,21,17,27,25,40,0,0,0,0,18,26,0,0,0,9.32310200930348,9.812341083249727,11.170413495121924
42,2007-07-01,30,42,35,21,19,5,14,63,47,0,0,0,0,0,13,0,0,0,10.288627823121024,14.993836461525992,13.552014616436551
43,2007-08-01,32,44,41,15,11,21,18,31,38,0,0,0,0,0,0,0,0,0,9.941633718669955,11.922164941005667,11.758318979074
44,2007-09-01,45,28,40,16,21,21,6,30,46,0,0,0,0,0,0,0,0,0,9.257682991794082,9.59838327745324,10.43385133322757
45,2007-10-01,39,40,51,21,16,12,18,0,32,0,0,0,0,0,0,0,0,0,8.848454226380793,8.824407318037458,9.780878579441197
46,2007-11-01,38,28,36,12,7,11,18,17,29,0,0,0,0,0,0,0,0,0,7.231512197481113,8.229840091859185,8.057421225457887
47,2007-12-01,51,42,26,15,15,12,7,5,38,0,0,0,0,0,0,0,0,0,8.02308877786935,8.20238232620998,7.09620280798881
48,2008-01-01,53,48,42,28,21,8,7,30,46,0,0,0,0,0,18,0,0,0,11.97127859970356,11.307113899251576,12.203224713331368
49,2008-02-01,46,43,48,16,17,18,14,27,46,0,0,0,0,13,0,0,0,0,9.600430634620867,10.004088430971377,10.928806046225704
50,2008-03-01,21,40,42,14,19,8,15,25,41,0,0,0,0,18,0,0,0,0,6.806739127684968,9.462544854452851,9.509224123059361
51,2008-04-01,42,30,33,8,6,9,20,25,28,0,0,0,0,0,12,0,0,0,7.816238741003199,8.430172890309723,8.501977301588742
52,2008-05-01,61,41,42,20,21,14,26,22,18,0,0,0,0,0,0,0,0,0,11.351484512001404,8.617163137941791,9.346430710817996
53,2008-06-01,41,39,36,24,0,16,22,17,44,0,0,0,0,11,19,0,0,0,8.3526456790744,8.928122988114499,9.881225229936614
54,2008-07-01,35,52,38,24,18,16,17,21,41,0,0,0,0,22,0,0,0,0,8.551252823559839,9.66803743019745,9.196816307587966
55,2008-08-01,41,44,36,26,24,11,14,21,42,0,0,0,0,0,0,0,0,0,10.217256541281559,10.786442935773307,10.212750783192272
56,2008-09-01,35,40,32,13,22,8,16,13,34,0,0,0,0,0,19,0,0,0,7.151808591450398,9.132679349862512,7.88099167674267
57,2008-10-01,53,35,31,11,8,13,19,17,17,0,0,0,0,0,0,0,0,0,8.48864876938596,7.329792942138796,6.731171579830766
58,2008-11-01,31,39,32,19,5,17,16,30,33,0,0,0,0,18,0,0,0,0,6.516538053538669,8.161442712099028,7.983426355299459
59,2008-12-01,30,29,39,19,11,11,7,18,15,0,0,0,0,0,0,0,0,0,6.891992425384624,6.2585226944493515,5.868044798596233
60,2009-01-01,55,49,74,16,9,15,23,26,35,0,0,0,0,0,0,0,0,0,9.234997227763744,8.936129739383356,11.83421094080807
61,2009-02-01,27,33,30,20,9,23,18,10,31,0,0,0,0,0,0,0,0,0,8.63552907198889,6.592412631378591,7.617425366953211
62,2009-03-01,36,31,31,16,7,10,28,15,41,0,0,0,0,0,0,0,0,0,8.661466569917359,6.658892046072371,7.686575228287163
63,2009-04-01,26,21,48,19,9,28,15,21,46,0,0,0,0,0,18,0,0,0,7.84772831002963,6.340401572022714,10.852512702115089
64,2009-05-01,50,34,40,21,21,20,24,23,29,0,0,0,0,0,0,0,0,0,9.837437476193182,7.7512060101169995,9.527848334421972
65,2009-06-01,33,38,31,23,25,12,26,27,34,0,0,0,0,0,0,0,0,0,8.400965571607003,9.163593264794887,10.00067390672149
66,2009-07-01,47,46,48,20,9,27,16,24,24,0,0,0,0,0,0,0,0,0,9.80108497899726,8.835323616278735,10.42869214625697
67,2009-08-01,56,45,41,20,10,15,22,31,31,0,0,0,0,0,0,0,0,0,11.602792323399933,10.079897956370246,9.525492916444136
