,date,samoa flights-AU,samoa hotel-AU,samoa travel-AU,samoa flights-NZ,samoa hotel-NZ,samoa travel-NZ,samoa flights-US,samoa hotel-US,samoa travel-US,samoa flights-JP,samoa hotel-JP,samoa travel-JP,samoa flights-HK,samoa hotel-HK,samoa travel-HK,samoa flights-NC,samoa hotel-NC,samoa travel-NC,samoa flights,samoa hotel,samoa travel
0,2004-01-01,0,0,0,0,0,2,0,54,99,0,0,0,0,0,0,0,0,0,1.0318719517073873,4.855134520422693,0.0
1,2004-02-01,0,0,2,0,0,0,0,82,64,0,0,0,0,0,0,0,0,0,1.973258972320439,4.955949257229992,3.040317233488101
2,2004-03-01,53,100,71,74,100,0,11,0,2,0,0,0,0,0,0,0,0,0,1.480690201533619,3.470495379986885,2.971447720699577
3,2004-04-01,65,5,4,45,2,1,71,0,97,0,0,0,0,0,0,0,0,0,5.235897916013023,4.462268181949693,2.855752771187155
4,2004-05-01,0,36,69,0,1,1,0,78,0,0,0,0,0,0,0,0,0,0,1.0327260505513405,3.1625437298753174,1.6730822469046356
5,2004-06-01,0,0,61,23,1,33,1,2,70,0,0,0,0,0,0,0,0,0,0.0,2.213839568963686,2.1415490180231402
6,2004-07-01,0,0,4,0,1,0,0,76,0,0,0,0,0,0,0,0,0,0,5.480216791565391,5.475586118523369,3.0238714152597566
7,2004-08-01,0,0,0,3,26,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1771518427923,6.458845288477427,1.0212033656168962
8,2004-09-01,0,0,0,0,0,37,0,0,54,0,0,0,0,0,0,0,0,0,0.0,5.579085582462286,1.3499137298681014
9,2004-10-01,31,57,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.287915813189796,2.901955300613638,1.8042276051185702
10,2004-11-01,0,0,3,0,39,1,0,4,0,0,0,0,0,0,0,0,0,0,1.4474575215123127,0.0,2.3915871757659284
11,2004-12-01,93,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.71386616470342,0.9614616138568013
12,2005-01-01,1,0,1,1,1,1,73,0,0,0,0,0,0,0,0,0,0,0,0.8869922970501668,1.5651486228669558,1.1676688880612802
13,2005-02-01,4,33,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2.0209234663297666,1.785389628010525,1.2487793171027488
14,2005-03-01,0,30,44,20,21,0,0,0,55,0,0,0,0,0,0,0,0,0,1.0987918513398287,2.2249984380978676,3.178929050649083
15,2005-04-01,24,25,25,0,1,0,63,0,56,0,0,0,0,0,0,0,0,0,1.1060346009695285,3.0320254355939125,2.270150226531995
