,date,solomon islands flights-AU,solomon islands hotel-AU,solomon islands travel-AU,solomon islands flights-NZ,solomon islands hotel-NZ,solomon islands travel-NZ,solomon islands flights-US,solomon islands hotel-US,solomon islands travel-US,solomon islands flights-JP,solomon islands hotel-JP,solomon islands travel-JP,solomon islands flights-HK,solomon islands hotel-HK,solomon islands travel-HK,solomon islands flights-NC,solomon islands hotel-NC,solomon islands travel-NC,solomon islands flights,solomon islands hotel,solomon islands travel
0,2004-01-01,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0.0,3.0901437527358575,0.0
1,2004-02-01,1,1,1,0,0,0,42,0,100,0,0,0,0,0,0,0,0,0,0.04743301195562114,0.0,0.9248139431664559
2,2004-03-01,0,0,0,0,0,0,4,0,55,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0835356145542081
3,2004-04-01,1,30,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,1.0130559173131666,0.0,0.0
4,2004-05-01,21,0,30,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0.0,1.0391861602887258,0.0
5,2004-06-01,0,33,0,0,0,0,52,0,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
6,2004-07-01,34,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0.0,1.8779264955939614,0.0
7,2004-08-01,0,0,0,0,0,0,52,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,2.727937738659476
8,2004-09-01,0,1,0,0,0,0,44,5,1,0,0,0,0,0,0,0,0,0,0.0,0.7420385976961695,1.3572104368414248
9,2004-10-01,0,1,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,1.0960178460683967,0.0815281180202738,0.0
10,2004-11-01,1,0,1,0,0,0,65,2,0,0,0,0,0,0,0,0,0,0,1.4469442810084483,1.8949532469230534,0.0
11,2004-12-01,0,0,4,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0.024855116866145593,1.0479235753150027,0.7044382722639603
12,2005-01-01,1,0,0,0,0,0,0,4,35,0,0,0,0,0,0,0,0,0,0.019807795714779256,0.018810128244952366,1.358359100915549
13,2005-02-01,0,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5435691975938277,0.02148787367599361,0.0
14,2005-03-01,0,25,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0.05588468671145063,0.04932183243693855,0.0
15,2005-04-01,0,0,0,0,0,0,41,59,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.023139372622948445
16,2005-05-01,18,0,1,0,0,0,1,1,34,0,0,0,0,0,0,0,0,0,0.0,1.2281492057590992,0.0
17,2005-06-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.1737617691709605,0.0,0.0
18,2005-07-01,0,1,0,0,0,0,0,2,56,0,0,0,0,0,0,0,0,0,0.0,0.7633541737440409,0.0
19,2005-08-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
20,2005-09-01,0,0,1,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0.0,0.0,0.9339904996553116
21,2005-10-01,0,12,0,0,0,0,1,1,93,0,0,0,0,0,0,0,0,0,0.7503427321820345,0.5421354237980424,0.5555329569145627
22,2005-11-01,12,1,36,0,0,0,1,0,33,0,0,0,0,0,0,0,0,0,1.1538822168383476,0.027720804515099753,0.768745264891641
23,2005-12-01,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0.017579152245777194,0.5363146799245304,0.0
24,2006-01-01,16,0,12,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0.9469598816664052,0.01786746227355693,0.6027288321245283
25,2006-02-01,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
26,2006-03-01,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0.8703476657527823,0.0,0.0
