,Year,Month,Australie,New Zealand,Caledonia,Other PIC,Europe,North America,Japon,Chine,Countries,Total
0,2013,,65776,15068,12515,4874,5544,2614,659,1062,1997,110109
1,2014,,60808,16293,12756,6630,5591,2373,763,1563,2031,108808
2,2015,,46098,13422,10567,5953,5839,2962,633,2186,2292,89952
3,2016,,49752,10931,9681,5705,10067,2893,903,2736,2449,95117
4,2017,,57384,11554,15826,7147,6801,3016,1076,3612,2692,109108
5,2013,Dec,6123,898,1358,466,430,243,53,97,185,9853
6,2014,Dec,6092,921,1380,870,454,185,102,144,167,10315
7,2015,Dec,5219,887,1122,598,597,277,49,234,165,9148
8,2016,Dec,5237,965,1514,645,618,209,78,229,254,9749
9,2017,Jan,4738,549,1742,439,602,180,75,339,293,8957
10,,Feb,2328,343,1062,612,520,197,59,302,187,5610
11,,Mar,3304,454,939,405,445,224,72,315,198,6356
12,,Apr,4854,885,1349,463,639,218,82,213,232,8935
13,,May,3647,737,1017,486,491,257,55,320,169,7179
14,,Jun,5104,1209,1302,492,433,324,97,317,222,9500
15,,Jul,6470,1834,1214,816,715,289,112,410,195,12055
16,,Aug,4081,1234,1278,317,537,236,157,269,192,8301
17,,Sep,6655,1194,1221,447,536,279,102,269,174,10877
18,,Oct,5456,1208,1728,646,611,281,112,318,251,10611
19,,Nov,4149,809,1022,1031,599,219,71,213,331,8444
20,,Dec,6598,1098,1952,993,673,312,82,327,248,12283
