,Year,Month,Australia,New Zealand,Caledonia,Other PIC,Europe,North America,Japon,Chine,Countries,Total
0,2014,,60808,16293,12756,6630,5591,2373,763,1563,2031,108808
1,2015,,46098,13422,10567,5953,5839,2962,633,2186,2292,89952
2,2016,,49752,10931,9681,5705,10067,2893,903,2736,2449,95117
3,2017,,57387,11554,15880,7147,6806,3016,1076,3612,2692,109170
4,2018,,60616,13432,15105,6545,8023,3347,963,4007,3596,115634
5,2014,Dec,6092,921,1380,870,454,185,102,144,167,10315
6,2015,Dec,5219,887,1122,598,597,277,49,234,165,9148
7,2016,Dec,5237,965,1514,645,618,209,78,229,254,9749
8,2017,Dec,6598,1098,1952,993,673,312,82,327,248,12283
9,2018,Dec,6146,1067,1485,451,504,209,84,318,204,10468
10,2019,Jan [p],5251,767,1786,481,523,229,61,284,166,9548
11,,Feb [p],2740,503,923,526,456,152,57,326,152,5835
12,,Mar [p],3864,611,949,411,413,209,71,331,167,7026
13,,Apr [p],5195,1010,1164,507,731,180,102,294,262,9445
14,,May [p],3919,868,1139,552,806,294,60,425,296,8359
15,,Jun [p],5525,1581,1101,607,808,256,52,390,287,10607
16,,Jul [p],6533,2344,1019,578,939,295,97,477,330,12612
17,,Aug [p],5700,2048,1354,753,931,322,157,531,479,12275
18,,Sep [p],6936,1526,1042,397,692,251,158,428,270,11700
19,,Oct [p],5679,1487,1307,567,795,305,69,414,257,10880
20,,Nov [p],4859,1010,1281,667,903,364,73,403,300,9860
21,,Dec [p],6921,1330,1673,514,995,263,150,368,267,12481
