,Year,Quarter,Australie,Zealand,Caledonia,Other PIC,Europe,America,Japon,Countries,Stated,Total
0,2002,,29730,7263,4704,1828,2948,1438,731,803,0,49445
1,2003,,29492,7729,5050,2034,3003,1625,571,881,15,50400
2,2004,,36407,8220,6630,3179,3388,1954,591,1084,0,61454
3,2005,,38073,7651,6815,2731,3503,1625,583,1100,1,62082
4,2003,1st,6344,1291,1161,478,614,275,136,183,8,10490
5,,2nd,6102,1847,962,387,554,395,135,143,4,10529
6,,3rd,8553,2575,1400,533,1016,530,169,276,3,15055
7,,4th,8493,2016,1527,636,819,425,131,279,0,14326
8,2004,1st,7755,1053,1388,564,610,264,123,237,0,11994
9,,2nd,7124,1670,1290,467,621,542,145,261,0,12120
10,,3rd,9940,3299,2027,1215,1270,749,182,321,0,19003
11,,4th,11588,2198,1925,933,887,399,141,265,0,18337
12,2005,1st,7864,943,1591,852,670,357,113,258,0,12648
13,,2nd,8438,1837,1209,405,700,345,136,239,0,13309
14,,3rd,10694,2743,2049,853,1167,490,195,316,0,18507
15,,4th,11077,2128,1966,621,966,433,139,287,1,17618
16,2004,Jan,2864,439,717,122,186,67,36,61,0,4492
17,,Feb,2158,194,416,282,229,82,34,93,0,3488
18,,Mar,2733,420,255,160,195,115,53,83,0,4014
19,,Apr,2377,438,469,206,225,115,45,80,0,3955
20,,May,2076,491,588,121,228,149,61,78,0,3792
21,,Jun,2671,741,233,140,168,278,39,103,0,4373
22,,Jul,2907,1153,552,508,478,323,75,120,0,6116
23,,Aug,3123,1017,428,355,428,207,66,117,0,5741
24,,Sep,3910,1129,1047,352,364,219,41,84,0,7146
25,,Oct,4358,996,557,344,341,157,52,110,0,6915
26,,Nov,3424,546,541,268,251,111,37,66,0,5244
27,,Dec,3806,656,827,321,295,131,52,89,1,6178
28,2005,Jan,2967,373,785,352,273,111,50,83,0,4994
29,,Feb,2107,180,500,245,195,80,34,99,0,3440
30,,Mar,2790,390,306,255,202,166,29,76,0,4214
31,,Apr,2914,471,305,111,206,82,45,52,0,4186
32,,May,2360,485,494,151,230,123,39,126,0,4008
33,,Jun,3164,881,410,143,264,140,52,61,0,5115
34,,Jul,3564,966,870,273,460,153,57,85,0,6428
35,,Aug,2963,881,514,201,435,202,68,130,0,5394
36,,Sep,4167,896,665,379,272,135,70,101,0,6685
37,,Oct,3701,937,500,212,313,125,29,80,0,5897
38,,Nov,3452,595,648,190,344,148,61,106,0,5544
39,,Dec,3924,596,818,219,309,160,49,101,1,6177
