,Year,Month,Australia,New Zealand,New Caledonia,Other PIC,Europe,North America,Japan,China,Other Countries,Total,fileyear,Not Stated,month,date
0,2002.0,Dec,3073.0,474.0,551.0,164.0,215.0,74.0,43.0,0.0,43.0,4637.0,2006.0,0.0,12.0,2002-12-01
1,2003.0,Dec,2938.0,580.0,646.0,136.0,201.0,88.0,42.0,0.0,103.0,4734.0,2007.0,0.0,12.0,2003-12-01
2,2004.0,Jan,2864.0,439.0,717.0,122.0,186.0,67.0,36.0,0.0,61.0,4492.0,2005.0,0.0,1.0,2004-01-01
3,2004.0,Feb,2158.0,194.0,416.0,282.0,229.0,82.0,34.0,0.0,93.0,3488.0,2005.0,0.0,2.0,2004-02-01
4,2004.0,Mar,2733.0,420.0,255.0,160.0,195.0,115.0,53.0,0.0,83.0,4014.0,2005.0,0.0,3.0,2004-03-01
5,2004.0,Apr,2377.0,438.0,469.0,206.0,225.0,115.0,45.0,0.0,80.0,3955.0,2005.0,0.0,4.0,2004-04-01
6,2004.0,May,2076.0,491.0,588.0,121.0,228.0,149.0,61.0,0.0,78.0,3792.0,2005.0,0.0,5.0,2004-05-01
7,2004.0,Jun,2671.0,741.0,233.0,140.0,168.0,278.0,39.0,0.0,103.0,4373.0,2005.0,0.0,6.0,2004-06-01
8,2004.0,Jul,2907.0,1153.0,552.0,508.0,478.0,323.0,75.0,0.0,120.0,6116.0,2005.0,0.0,7.0,2004-07-01
9,2004.0,Aug,3123.0,1017.0,428.0,355.0,428.0,207.0,66.0,0.0,117.0,5741.0,2005.0,0.0,8.0,2004-08-01
10,2004.0,Sep,3910.0,1129.0,1047.0,352.0,364.0,219.0,41.0,0.0,84.0,7146.0,2005.0,0.0,9.0,2004-09-01
11,2004.0,Oct,4358.0,996.0,557.0,344.0,341.0,157.0,52.0,0.0,110.0,6915.0,2005.0,0.0,10.0,2004-10-01
12,2004.0,Nov,3424.0,546.0,541.0,268.0,251.0,111.0,37.0,0.0,66.0,5244.0,2005.0,0.0,11.0,2004-11-01
13,2004.0,Dec,3806.0,656.0,827.0,321.0,295.0,131.0,52.0,0.0,89.0,6178.0,2007.0,1.0,12.0,2004-12-01
14,2005.0,Jan,2967.0,373.0,785.0,352.0,273.0,111.0,50.0,0.0,83.0,4994.0,2005.0,0.0,1.0,2005-01-01
15,2005.0,Feb,2107.0,180.0,500.0,245.0,195.0,80.0,34.0,0.0,99.0,3440.0,2005.0,0.0,2.0,2005-02-01
16,2005.0,Mar,2790.0,390.0,306.0,255.0,202.0,166.0,29.0,0.0,76.0,4214.0,2005.0,0.0,3.0,2005-03-01
17,2005.0,Apr,2914.0,471.0,305.0,111.0,206.0,82.0,45.0,0.0,52.0,4186.0,2005.0,0.0,4.0,2005-04-01
18,2005.0,May,2360.0,485.0,494.0,151.0,230.0,123.0,39.0,0.0,126.0,4008.0,2005.0,0.0,5.0,2005-05-01
19,2005.0,Jun,3164.0,881.0,410.0,143.0,264.0,140.0,52.0,0.0,61.0,5115.0,2005.0,0.0,6.0,2005-06-01
20,2005.0,Jul,3564.0,966.0,870.0,273.0,460.0,153.0,57.0,0.0,85.0,6428.0,2005.0,0.0,7.0,2005-07-01
21,2005.0,Aug,2963.0,881.0,514.0,201.0,435.0,202.0,68.0,0.0,130.0,5394.0,2005.0,0.0,8.0,2005-08-01
22,2005.0,Sep,4167.0,896.0,665.0,379.0,272.0,135.0,70.0,0.0,101.0,6685.0,2005.0,0.0,9.0,2005-09-01
23,2005.0,Oct,3701.0,937.0,500.0,212.0,313.0,125.0,29.0,0.0,80.0,5897.0,2005.0,0.0,10.0,2005-10-01
24,2005.0,Nov,3452.0,595.0,648.0,190.0,344.0,148.0,61.0,0.0,106.0,5544.0,2005.0,0.0,11.0,2005-11-01
25,2005.0,Dec,3924.0,596.0,818.0,219.0,309.0,160.0,49.0,0.0,101.0,6176.0,2009.0,0.0,12.0,2005-12-01
26,2006.0,Jan,3731.0,397.0,810.0,151.0,330.0,133.0,31.0,0.0,79.0,5662.0,2007.0,0.0,1.0,2006-01-01
27,2006.0,Feb,2482.0,4179.0,550.0,197.0,272.0,89.0,44.0,0.0,72.0,7885.0,2007.0,0.0,2.0,2006-02-01
28,2006.0,Mar,2913.0,327.0,286.0,181.0,217.0,96.0,59.0,0.0,100.0,4179.0,2007.0,0.0,3.0,2006-03-01
29,2006.0,Apr,2956.0,611.0,497.0,170.0,247.0,119.0,42.0,0.0,100.0,4742.0,2007.0,0.0,4.0,2006-04-01
30,2006.0,May,2580.0,731.0,577.0,229.0,243.0,129.0,50.0,0.0,114.0,4653.0,2007.0,0.0,5.0,2006-05-01
31,2006.0,Jun,3327.0,1176.0,449.0,245.0,236.0,196.0,38.0,0.0,82.0,5749.0,2007.0,0.0,6.0,2006-06-01
32,2006.0,Jul,3802.0,1132.0,652.0,198.0,477.0,260.0,72.0,0.0,119.0,6712.0,2007.0,0.0,7.0,2006-07-01
33,2006.0,Aug,2874.0,1171.0,565.0,338.0,429.0,219.0,91.0,0.0,130.0,5817.0,2006.0,0.0,8.0,2006-08-01
34,2006.0,Sep,4076.0,1312.0,888.0,234.0,384.0,175.0,55.0,0.0,107.0,7231.0,2007.0,0.0,9.0,2006-09-01
35,2006.0,Oct,3705.0,1020.0,542.0,235.0,443.0,149.0,50.0,0.0,95.0,6239.0,2007.0,0.0,10.0,2006-10-01
36,2006.0,Nov,3526.0,777.0,681.0,325.0,403.0,161.0,61.0,0.0,102.0,6036.0,2007.0,0.0,11.0,2006-11-01
37,2006.0,Dec,4413.0,925.0,983.0,178.0,340.0,170.0,63.0,0.0,139.0,7211.0,2007.0,0.0,12.0,2006-12-01
38,2007.0,Jan,4016.0,709.0,974.0,151.0,371.0,98.0,68.0,0.0,93.0,6480.0,2007.0,0.0,1.0,2007-01-01
39,2007.0,Feb,2604.0,298.0,592.0,168.0,290.0,124.0,47.0,0.0,111.0,4234.0,2007.0,0.0,2.0,2007-02-01
40,2007.0,Mar,3618.0,570.0,422.0,368.0,280.0,176.0,69.0,0.0,264.0,5767.0,2007.0,0.0,3.0,2007-03-01
41,2007.0,Apr,3876.0,912.0,615.0,168.0,287.0,259.0,79.0,0.0,132.0,6328.0,2007.0,0.0,4.0,2007-04-01
42,2007.0,May,3305.0,949.0,765.0,220.0,218.0,268.0,33.0,0.0,85.0,5843.0,2007.0,0.0,5.0,2007-05-01
43,2007.0,Jun,3986.0,1267.0,564.0,153.0,191.0,275.0,48.0,0.0,152.0,6636.0,2007.0,0.0,6.0,2007-06-01
44,2007.0,Jul,4361.0,2717.0,764.0,357.0,405.0,409.0,109.0,0.0,181.0,9303.0,2007.0,0.0,7.0,2007-07-01
45,2007.0,Aug,3785.0,1472.0,660.0,203.0,465.0,264.0,69.0,0.0,158.0,7076.0,2007.0,0.0,8.0,2007-08-01
46,2007.0,Sep,4889.0,1552.0,903.0,290.0,243.0,196.0,70.0,0.0,161.0,8304.0,2007.0,0.0,9.0,2007-09-01
47,2007.0,Oct,4175.0,1273.0,473.0,202.0,278.0,195.0,59.0,0.0,130.0,6785.0,2007.0,0.0,10.0,2007-10-01
48,2007.0,Nov,4050.0,997.0,840.0,246.0,396.0,160.0,36.0,0.0,145.0,6870.0,2007.0,0.0,11.0,2007-11-01
49,2007.0,Dec,4050.0,997.0,840.0,246.0,396.0,160.0,36.0,0.0,145.0,6870.0,2011.0,0.0,12.0,2007-12-01
50,2008.0,Jan,3955.0,715.0,945.0,250.0,295.0,229.0,51.0,0.0,126.0,6566.0,2009.0,0.0,1.0,2008-01-01
51,2008.0,Feb,2542.0,552.0,825.0,251.0,283.0,153.0,44.0,0.0,154.0,4804.0,2009.0,0.0,2.0,2008-02-01
52,2008.0,Mar,3877.0,776.0,514.0,263.0,317.0,179.0,53.0,0.0,169.0,6148.0,2009.0,0.0,3.0,2008-03-01
53,2008.0,Apr,3502.0,1049.0,580.0,295.0,297.0,206.0,76.0,0.0,166.0,6171.0,2009.0,0.0,4.0,2008-04-01
54,2008.0,May,3543.0,811.0,922.0,476.0,296.0,227.0,34.0,0.0,193.0,6502.0,2009.0,0.0,5.0,2008-05-01
55,2008.0,June,4579.0,1586.0,690.0,339.0,364.0,238.0,62.0,0.0,203.0,8061.0,2009.0,0.0,6.0,2008-06-01
56,2008.0,July,5250.0,1888.0,810.0,265.0,718.0,375.0,33.0,0.0,204.0,9543.0,2009.0,0.0,7.0,2008-07-01
57,2008.0,Aug,4635.0,1876.0,814.0,379.0,566.0,316.0,58.0,0.0,155.0,8799.0,2009.0,0.0,8.0,2008-08-01
58,2008.0,Sep,5678.0,1473.0,1014.0,295.0,459.0,191.0,54.0,0.0,118.0,9282.0,2009.0,0.0,9.0,2008-09-01
59,2008.0,Oct,5154.0,1393.0,746.0,325.0,390.0,193.0,25.0,0.0,193.0,8419.0,2009.0,0.0,10.0,2008-10-01
