,Year,Month,Holidays,relatives,Conferences Stop Over,sports,Visitors,Année,Mois,Conferences,Over
0,2011,,75821,7320,9933 790,96,93960,2011,,9933,790
1,2012,,88085,7910,11294 602,270,108161,2012,,11294,602
2,2013,,89253,7755,9079 613,3409,110109,2013,,9079,613
3,2014,,86239,7672,8007 1022,5868,108808,2014,,8007,1022
4,2015,,63625,8495,8687 336,8809,89952,2015,,8687,336
5,2011,Dec,7749,628,1153 66,26,9622,2011,Dec,1153,66
6,2012,Dec,8776,638,929 55,7,10405,2012,Dec,929,55
7,2013,Dec,8678,767,1001 59,292,10797,2013,Dec,1001,59
8,2014,Jan,7317,544,335 63,188,8447,2014,Jan,335,63
9,,Feb,3773,407,462 47,320,5009,,Fév,462,47
10,,Mar,4906,406,628 35,401,6376,,Mar,628,35
11,,Apr*,5593,406,640 11,154,6804,,Avr,640,11
12,,May,6213,534,776 22,267,7812,,Mai,776,22
13,,Jun,8865,744,880 52,376,10917,,Juin,880,52
14,,Jul,9423,830,578 121,494,11446,,Juil,578,121
15,,Aug,9321,743,882 214,705,11865,,Aoû,882,214
16,,Sep,8904,699,807 147,731,11288,,Sep,807,147
17,,Oct,8042,685,851 145,810,10533,,Oct,851,145
18,,Nov,5816,564,780 162,674,7996,,Nov,780,162
19,,Dec,8066,1110,388 3,748,10315,,Dec,388,3
20,2015,Jan,6846,524,377 11,766,8524,2015,Jan,377,11
21,,Feb,3702,461,556 21,649,5389,,Fév,556,21
22,,Mar,1899,689,988 2,1259,4837,,Mar,988,2
23,,Apr,2281,670,709 13,905,4578,,Avr,709,13
24,,May,3618,607,936 19,607,5787,,Mai,936,19
25,,Jun,5643,851,761 42,992,8289,,Juin,761,42
26,,Jul,7771,873,629 47,711,10031,,Juil,629,47
27,,Aug,6154,796,831 35,574,8390,,Aoû,831,35
28,,Sep,6956,712,836 59,608,9171,,Sep,836,59
29,,Oct,6468,694,704 30,637,8533,,Oct,704,30
30,,Nov,5147,637,809 40,642,7275,,Nov,809,40
31,,Dec,7140,981,551 17,459,9148,,Dec,551,17
