,date,ym,samoa_rnz_news_count,samoa_rnz_epu_count,samoa_rnz_ratio,samoa_observer_news_count,samoa_observer_epu_count,samoa_observer_ratio,news_total,samoa_rnz_weights,samoa_observer_weights,samoa_rnz_z_score,samoa_observer_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted
0,2015-02-01,2015-2,5.0,1.0,0.2,0.0,0.0,0.0,5.0,1.0,0.0,2.257397785635112,0.0,1.128698892817556,2.257397785635112,146.56439933209953,109.84526870831452
1,2015-03-01,2015-3,3.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2015-04-01,2015-4,6.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2015-05-01,2015-5,4.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2015-06-01,2015-6,3.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2015-07-01,2015-7,5.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2015-08-01,2015-8,3.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2015-09-01,2015-9,4.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2015-10-01,2015-10,3.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2015-11-01,2015-11,6.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2015-12-01,2015-12,3.0,0.0,0.0,24.0,3.0,0.125,27.0,0.1111111111111111,0.8888888888888888,0.0,2.4814732119936664,1.2407366059968332,2.205753966216592,143.211359198696,120.74880798522604
11,2016-01-01,2016-1,10.0,0.0,0.0,60.0,3.0,0.05,70.0,0.14285714285714285,0.8571428571428571,0.0,0.9925892847974667,0.49629464239873333,0.8507908155406857,55.23866711949703,48.29952319409042
12,2016-02-01,2016-2,6.0,0.0,0.0,96.0,5.0,0.052083333333333336,102.0,0.058823529411764705,0.9411764705882353,0.0,1.0339471716640276,0.5169735858320138,0.9731267498014378,63.181481999424705,50.312003327177514
13,2016-03-01,2016-3,8.0,0.0,0.0,108.0,11.0,0.10185185185185185,116.0,0.06896551724137931,0.9310344827586207,0.0,2.021941135698543,1.0109705678492715,1.882496919443471,122.22348759199055,98.38791761759158
14,2016-04-01,2016-4,5.0,1.0,0.2,102.0,8.0,0.0784313725490196,107.0,0.04672897196261682,0.9532710280373832,2.257397785635112,1.5570027996823004,1.9072002926587062,1.5897315373436467,103.21532578473466,185.6092266598289
15,2016-05-01,2016-5,6.0,0.0,0.0,104.0,4.0,0.038461538461538464,110.0,0.05454545454545454,0.9454545454545454,0.0,0.7635302190749743,0.38176510953748716,0.7218831162163394,46.86917210139142,37.153479380069555
16,2016-06-01,2016-6,7.0,0.0,0.0,105.0,11.0,0.10476190476190476,112.0,0.0625,0.9375,0.0,2.0797108824327872,1.0398554412163936,1.949728952280738,126.58861214884736,101.1990009780942
17,2016-07-01,2016-7,3.0,0.0,0.0,136.0,7.0,0.051470588235294115,139.0,0.02158273381294964,0.9784172661870504,0.0,1.0217830872915097,0.5108915436457548,0.9997302149039232,64.90874553609963,49.72009740568131
18,2016-08-01,2016-8,4.0,0.0,0.0,98.0,2.0,0.02040816326530612,102.0,0.0392156862745098,0.9607843137254902,0.0,0.4051384835908026,0.2025692417954013,0.3892506999205751,25.272592799769882,19.71409109962874
19,2016-09-01,2016-9,8.0,0.0,0.0,98.0,6.0,0.061224489795918366,106.0,0.07547169811320754,0.9245283018867925,0.0,1.215415450772408,0.607707725386204,1.1236859827895846,72.95673015782626,59.142273298886224
20,2016-10-01,2016-10,9.0,0.0,0.0,133.0,9.0,0.06766917293233082,142.0,0.06338028169014084,0.9366197183098591,0.0,1.3433539192747668,0.6716769596373834,1.2582117694615773,81.69098658517166,65.36777575140056
21,2016-11-01,2016-11,3.0,0.0,0.0,81.0,7.0,0.08641975308641975,84.0,0.03571428571428571,0.9642857142857143,0.0,1.7155864181684606,0.8577932090842303,1.6543154746624442,107.408519399022,83.48065737250195
22,2016-12-01,2016-12,3.0,0.0,0.0,115.0,4.0,0.034782608695652174,118.0,0.025423728813559324,0.9745762711864406,0.0,0.6904968937721506,0.3452484468860753,0.6729418879982824,43.691601111466575,33.599668308932465
23,2017-01-01,2017-1,4.0,0.0,0.0,89.0,6.0,0.06741573033707865,93.0,0.043010752688172046,0.956989247311828,0.0,1.3383226311875953,0.6691613155937977,1.280760367480602,83.15498276053316,65.1229526212455
24,2017-02-01,2017-2,4.0,0.0,0.0,100.0,4.0,0.04,104.0,0.038461538461538464,0.9615384615384616,0.0,0.7940714278379732,0.3970357139189866,0.7635302190749743,49.57316279954862,38.639618555272335
25,2017-03-01,2017-3,1.0,0.0,0.0,125.0,9.0,0.072,126.0,0.007936507936507936,0.9920634920634921,0.0,1.4293285701083518,0.7146642850541759,1.4179846925678095,92.06444519916172,69.5513133994902
26,2017-04-01,2017-4,1.0,0.0,0.0,105.0,8.0,0.0761904761904762,106.0,0.009433962264150943,0.9905660377358491,0.0,1.5125170054056636,0.7562585027028318,1.49824797705278,97.27564021043503,73.59927343861398
27,2017-05-01,2017-5,1.0,0.0,0.0,128.0,15.0,0.1171875,129.0,0.007751937984496124,0.9922480620155039,0.0,2.3263811362440623,1.1631905681220311,2.3083471739475967,149.87235264979813,113.20200748614941
28,2017-06-01,2017-6,10.0,1.0,0.1,105.0,6.0,0.05714285714285714,115.0,0.08695652173913043,0.9130434782608695,1.128698892817556,1.1343877540542475,1.1315433234359018,1.1338930704684482,73.61943820339201,110.12208943311774
29,2017-07-01,2017-7,7.0,0.0,0.0,115.0,8.0,0.06956521739130435,122.0,0.05737704918032787,0.9426229508196722,0.0,1.3809937875443012,0.6904968937721506,1.3017564390786447,84.51817919923043,67.19933661786493
30,2017-08-01,2017-8,12.0,0.0,0.0,127.0,14.0,0.11023622047244094,139.0,0.08633093525179857,0.9136690647482014,0.0,2.18838582475032,1.09419291237516,1.9994604298078462,129.81749107219926,106.48713775075052
31,2017-09-01,2017-9,11.0,1.0,0.09090909090909091,147.0,12.0,0.08163265306122448,158.0,0.06962025316455696,0.930379746835443,1.0260899025614145,1.6205539343632105,1.3233219184623124,1.5791671979719462,102.52942272227635,128.78603199320335
32,2017-10-01,2017-10,4.0,0.0,0.0,105.0,11.0,0.10476190476190476,109.0,0.03669724770642202,0.963302752293578,0.0,2.0797108824327872,1.0398554412163936,2.0033912170224095,130.07270239147618,101.1990009780942
33,2017-11-01,2017-11,5.0,0.0,0.0,118.0,10.0,0.0847457627118644,123.0,0.04065040650406504,0.959349593495935,0.0,1.682354719995706,0.841177359997853,1.613966316743848,104.78879941368,81.86359863405156
34,2017-12-01,2017-12,7.0,0.0,0.0,129.0,6.0,0.046511627906976744,136.0,0.051470588235294115,0.9485294117647058,0.0,0.9233388695790387,0.46166943478951933,0.875814074821294,56.863333799482234,44.92978901775852
35,2018-01-01,2018-1,7.0,0.0,0.0,93.0,10.0,0.10752688172043011,100.0,0.07,0.93,0.0,2.13460061246767,1.067300306233835,1.9851785695949333,128.89022327882643,103.86994235288262
36,2018-02-01,2018-2,14.0,1.0,0.07142857142857142,52.0,1.0,0.019230769230769232,66.0,0.21212121212121213,0.7878787878787878,0.8062134948696829,0.38176510953748716,0.593989302203585,0.4717996155170438,30.632185294678205,57.80719280014711
37,2018-03-01,2018-3,7.0,1.0,0.14285714285714285,141.0,13.0,0.09219858156028368,148.0,0.0472972972972973,0.9527027027027027,1.6124269897393657,1.8303064826052573,1.7213667361723115,1.820001371456195,118.16588528991844,167.52385679088783
38,2018-04-01,2018-4,6.0,0.0,0.0,93.0,10.0,0.10752688172043011,99.0,0.06060606060606061,0.9393939393939394,0.0,2.13460061246767,1.067300306233835,2.0052308783787205,130.1921447260873,103.86994235288262
39,2018-05-01,2018-5,11.0,2.0,0.18181818181818182,110.0,8.0,0.07272727272727272,121.0,0.09090909090909091,0.9090909090909091,2.052179805122829,1.4437662324326785,1.7479730187777538,1.499076557222692,97.3294368233645,170.11318710805378
40,2018-06-01,2018-6,10.0,1.0,0.1,135.0,5.0,0.037037037037037035,145.0,0.06896551724137931,0.9310344827586207,1.128698892817556,0.7352513220721975,0.9319751074448768,0.7623856372960153,49.49884938346081,90.70005894237238
41,2018-07-01,2018-7,7.0,0.0,0.0,114.0,3.0,0.02631578947368421,121.0,0.05785123966942149,0.9421487603305785,0.0,0.5224154130512981,0.26120770652564906,0.49219303378386764,31.956253705494145,25.420801681100215
42,2018-08-01,2018-8,5.0,0.0,0.0,141.0,7.0,0.04964539007092199,146.0,0.03424657534246575,0.9657534246575342,0.0,0.9855496444797541,0.49277482223987706,0.9517979443263379,61.79668239395787,47.95697338420325
43,2018-09-01,2018-9,8.0,0.0,0.0,121.0,8.0,0.06611570247933884,129.0,0.06201550387596899,0.937984496124031,0.0,1.3125147567569806,0.6562573783784903,1.2311184927720515,79.93192141322568,63.86713810788815
