,date,ym,samoa_rnz_news_count,samoa_rnz_epu_count,samoa_rnz_ratio,samoa_observer_news_count,samoa_observer_epu_count,samoa_observer_ratio,news_total,samoa_rnz_weights,samoa_observer_weights,samoa_rnz_z_score,samoa_observer_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted
0,2015-02-01,2015-2,34.0,1.0,0.029411764705882353,0.0,0.0,0.0,34.0,1.0,0.0,2.7647499780792457,0.0,1.3823749890396229,2.7647499780792457,294.95922693640694,170.42216637376373
1,2015-03-01,2015-3,49.0,0.0,0.0,0.0,0.0,0.0,49.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2015-04-01,2015-4,47.0,0.0,0.0,0.0,0.0,0.0,47.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2015-05-01,2015-5,65.0,0.0,0.0,0.0,0.0,0.0,65.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2015-06-01,2015-6,60.0,0.0,0.0,0.0,0.0,0.0,60.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2015-07-01,2015-7,67.0,0.0,0.0,0.0,0.0,0.0,67.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2015-08-01,2015-8,62.0,0.0,0.0,0.0,0.0,0.0,62.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2015-09-01,2015-9,63.0,0.0,0.0,0.0,0.0,0.0,63.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2015-10-01,2015-10,46.0,0.0,0.0,0.0,0.0,0.0,46.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2015-11-01,2015-11,37.0,0.0,0.0,0.0,0.0,0.0,37.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2015-12-01,2015-12,39.0,0.0,0.0,212.0,3.0,0.014150943396226415,251.0,0.1553784860557769,0.8446215139442231,0.0,0.9174020103551359,0.45870100517756796,0.7748574748816288,82.6661953482546,56.54964798986499
11,2016-01-01,2016-1,42.0,0.0,0.0,286.0,3.0,0.01048951048951049,328.0,0.12804878048780488,0.8719512195121951,0.0,0.6800322594240867,0.34001612971204337,0.5929549579124659,63.259801928085075,41.917920887592224
12,2016-02-01,2016-2,48.0,0.0,0.0,503.0,5.0,0.009940357852882704,551.0,0.08711433756805807,0.9128856624319419,0.0,0.6444308356371399,0.32221541781856994,0.5882916702821803,62.76229592381097,39.723410781482364
13,2016-03-01,2016-3,59.0,0.0,0.0,591.0,11.0,0.018612521150592216,650.0,0.09076923076923077,0.9092307692307692,0.0,1.2066449453740422,0.6033224726870211,1.0971187118708599,117.04685402899023,74.37889402840673
14,2016-04-01,2016-4,58.0,1.0,0.017241379310344827,574.0,8.0,0.013937282229965157,632.0,0.09177215189873418,0.9082278481012658,1.620715504391282,0.9035504120570909,1.2621329582241865,0.9693661958472539,103.41749019346452,155.5984698057407
15,2016-05-01,2016-5,57.0,0.0,0.0,629.0,4.0,0.006359300476947536,686.0,0.08309037900874636,0.9169096209912536,0.0,0.4122718096349524,0.2061359048174762,0.3780159887177625,40.32889219127678,25.412878375943563
16,2016-06-01,2016-6,57.0,0.0,0.0,582.0,11.0,0.018900343642611683,639.0,0.0892018779342723,0.9107981220657277,0.0,1.2253044032921974,0.6126522016460987,1.1160049494774005,119.0617450999118,75.52908311132023
17,2016-07-01,2016-7,42.0,0.0,0.0,624.0,7.0,0.011217948717948718,666.0,0.06306306306306306,0.9369369369369369,0.0,0.7272567218840927,0.36362836094204637,0.6813936853688797,72.69494756100266,44.82888761589724
18,2016-08-01,2016-8,35.0,0.0,0.0,541.0,3.0,0.005545286506469501,576.0,0.06076388888888889,0.9392361111111112,0.0,0.3594994938914765,0.17974974694573825,0.33765490658904307,36.022942764604004,22.15993599602842
19,2016-09-01,2016-9,48.0,0.0,0.0,543.0,6.0,0.011049723756906077,591.0,0.08121827411167512,0.9187817258883249,0.0,0.7163507410507874,0.3581753705253937,0.658169970204023,70.217309754355,44.15663121123895
20,2016-10-01,2016-10,44.0,0.0,0.0,531.0,9.0,0.01694915254237288,575.0,0.07652173913043478,0.9234782608695652,0.0,1.0988091875440045,0.5494045937720022,1.014726397540637,108.25677408214905,67.7317817731716
21,2016-11-01,2016-11,45.0,0.0,0.0,504.0,7.0,0.013888888888888888,549.0,0.08196721311475409,0.9180327868852459,0.0,0.9004130842374481,0.4502065421187241,0.8266087330704442,88.18731343465898,55.50243228634896
22,2016-12-01,2016-12,41.0,0.0,0.0,555.0,6.0,0.010810810810810811,596.0,0.06879194630872483,0.9312080536912751,0.0,0.7008620763794191,0.35043103818970955,0.6526484100513047,69.62823836379833,43.20189323910406
23,2017-01-01,2017-1,39.0,0.0,0.0,454.0,6.0,0.013215859030837005,493.0,0.07910750507099391,0.920892494929006,0.0,0.8567807321378361,0.42839036606891806,0.7890029460255124,84.17531453311116,52.81288710947743
24,2017-02-01,2017-2,44.0,0.0,0.0,490.0,5.0,0.01020408163265306,534.0,0.08239700374531835,0.9176029962546817,0.0,0.6615279802560843,0.33076399012804214,0.6070200567892908,64.76034654310831,40.77729718997066
25,2017-03-01,2017-3,43.0,0.0,0.0,536.0,9.0,0.016791044776119403,579.0,0.07426597582037997,0.92573402417962,0.0,1.088559101839303,0.5442795509196515,1.007716197903051,107.50888617830003,67.09995545066069
26,2017-04-01,2017-4,35.0,0.0,0.0,505.0,8.0,0.015841584158415842,540.0,0.06481481481481481,0.9351851851851852,0.0,1.0270058148926142,0.5135029074463071,0.9604406231866115,102.46525941931806,63.30574454839011
27,2017-05-01,2017-5,59.0,0.0,0.0,552.0,15.0,0.02717391304347826,611.0,0.09656301145662848,0.9034369885433715,0.0,1.7616777735080507,0.8808388867540253,1.591564862481905,169.7971770246473,108.59171534285666
28,2017-06-01,2017-6,70.0,1.0,0.014285714285714285,583.0,6.0,0.010291595197255575,653.0,0.10719754977029096,0.892802450229709,1.3428785607813478,0.6672014620764625,1.005040011428905,0.7396323914935252,78.90818343133483,123.9034975300156
29,2017-07-01,2017-7,55.0,0.0,0.0,576.0,9.0,0.015625,631.0,0.08716323296354993,0.9128367670364501,0.0,1.0129647197671292,0.5064823598835646,0.9246714399142099,98.64919983714059,62.44023632214258
30,2017-08-01,2017-8,59.0,0.0,0.0,506.0,14.0,0.02766798418972332,565.0,0.10442477876106195,0.8955752212389381,0.0,1.7937082784809244,0.8968541392404622,1.6064006883386686,171.3799471703638,110.56611016727224
31,2017-09-01,2017-9,46.0,1.0,0.021739130434782608,560.0,12.0,0.02142857142857143,606.0,0.07590759075907591,0.9240924092409241,2.0435108533629207,1.3892087585377773,1.7163598059503489,1.4388752541845702,153.50738258330932,211.59653402737243
32,2017-10-01,2017-10,54.0,0.0,0.0,575.0,11.0,0.019130434782608695,629.0,0.08585055643879173,0.9141494435612083,0.0,1.2402211525496676,0.6201105762748338,1.133747476496119,120.954618630912,76.44856760137108
33,2017-11-01,2017-11,65.0,0.0,0.0,591.0,12.0,0.02030456852791878,656.0,0.09908536585365854,0.9009146341463414,0.0,1.316339940408046,0.658169970204023,1.1859099158249318,126.51960385617015,81.1406116673528
34,2017-12-01,2017-12,58.0,0.0,0.0,633.0,6.0,0.009478672985781991,691.0,0.08393632416787265,0.9160636758321273,0.0,0.6144999247876424,0.3072499623938212,0.5629210598995334,60.05561514446282,37.878437200162324
35,2018-01-01,2018-1,72.0,0.0,0.0,557.0,10.0,0.017953321364452424,629.0,0.11446740858505565,0.8855325914149443,0.0,1.163909193269233,0.5819545966346165,1.0306795240873812,109.95874420992001,71.74461624088197
36,2018-02-01,2018-2,70.0,1.0,0.014285714285714285,297.0,2.0,0.006734006734006734,367.0,0.1907356948228883,0.8092643051771117,1.3428785607813478,0.43656391963027785,0.8897212402058128,0.6094304724383839,65.01750337178684,109.6867510095557
