date,ym,timor_leste_abc_au_solomon_islands_body_count,timor_leste_abc_au_solomon_islands_epu_count,timor_leste_abc_au_solomon_islands_ratio,news_total,timor_leste_abc_au_solomon_islands_weights,timor_leste_abc_au_solomon_islands_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted
2015-01-01,2015-1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2015-02-01,2015-2,3.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
2015-03-01,2015-3,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2015-04-01,0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0
2015-05-01,2015-5,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2015-06-01,2015-6,4.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
2015-07-01,2015-7,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2015-08-01,2015-8,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
2015-09-01,2015-9,3.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
2015-10-01,2015-10,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2015-11-01,2015-11,8.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0
2015-12-01,2015-12,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2016-01-01,2016-1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2016-02-01,2016-2,3.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
2016-03-01,2016-3,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2016-04-01,2016-4,6.0,1.0,0.16666666666666666,6.0,1.0,1.1289580615123627,1.1289580615123627,1.1289580615123627,350.835322195704,400.95465393794746
2016-05-01,0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0
2016-06-01,2016-6,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2016-07-01,2016-7,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
2016-08-01,2016-8,4.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
2016-09-01,2016-9,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
2016-10-01,2016-10,5.0,1.0,0.2,5.0,1.0,1.3547496738148352,1.3547496738148352,1.3547496738148352,421.0023866348448,481.14558472553693
2016-11-01,0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0
2016-12-01,2016-12,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2017-01-01,2017-1,7.0,1.0,0.14285714285714285,7.0,1.0,0.967678338439168,0.967678338439168,0.967678338439168,300.71599045346056,343.67541766109775
2017-02-01,2017-2,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2017-03-01,2017-3,3.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
2017-04-01,2017-4,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2017-05-01,2017-5,4.0,1.0,0.25,4.0,1.0,1.693437092268544,1.693437092268544,1.693437092268544,526.252983293556,601.4319809069211
2017-06-01,2017-6,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2017-07-01,2017-7,3.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
2017-08-01,2017-8,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
2017-09-01,2017-9,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
2017-10-01,2017-10,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
2017-11-01,2017-11,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2017-12-01,2017-12,4.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
2018-01-01,0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0
2018-02-01,2018-2,3.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
2018-03-01,2018-3,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
2018-04-01,2018-4,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
2018-05-01,2018-5,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
2018-06-01,2018-6,3.0,1.0,0.3333333333333333,3.0,1.0,2.2579161230247253,2.2579161230247253,2.2579161230247253,701.670644391408,801.9093078758949
2018-07-01,2018-7,6.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0
2018-08-01,2018-8,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
2018-09-01,2018-9,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2018-10-01,2018-10,2.0,1.0,0.5,2.0,1.0,3.386874184537088,3.386874184537088,3.386874184537088,1052.505966587112,1202.8639618138423
2018-11-01,2018-11,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
2018-12-01,0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0
2019-01-01,2019-1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2019-02-01,2019-2,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2019-03-01,2019-3,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
2019-04-01,2019-4,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
2019-05-01,2019-5,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2019-06-01,0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0
2019-07-01,2019-7,1.0,1.0,1.0,1.0,1.0,6.773748369074176,6.773748369074176,6.773748369074176,2105.011933174224,2405.7279236276845
2019-08-01,2019-8,6.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0
2019-09-01,2019-9,4.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
2019-10-01,2019-10,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2019-11-01,2019-11,3.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
2019-12-01,0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0
2020-01-01,2020-1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2020-02-01,0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0
2020-03-01,2020-3,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
2020-04-01,2020-4,3.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
2020-05-01,2020-5,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
2020-06-01,2020-6,5.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0
2020-07-01,2020-7,5.0,2.0,0.4,5.0,1.0,2.7094993476296705,2.7094993476296705,2.7094993476296705,842.0047732696896,962.2911694510739
2020-08-01,2020-8,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2020-09-01,2020-9,3.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
2020-10-01,0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0
2020-11-01,2020-11,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2020-12-01,2020-12,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2021-01-01,0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0
2021-02-01,2021-2,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2021-03-01,2021-3,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
2021-04-01,2021-4,7.0,2.0,0.2857142857142857,7.0,1.0,1.935356676878336,1.935356676878336,1.935356676878336,601.4319809069211,687.3508353221955
2021-05-01,2021-5,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
2021-06-01,2021-6,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
2021-07-01,2021-7,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2021-08-01,2021-8,2.0,1.0,0.5,2.0,1.0,3.386874184537088,3.386874184537088,3.386874184537088,1052.505966587112,1202.8639618138423
2021-09-01,2021-9,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
2021-10-01,2021-10,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2021-11-01,2021-11,5.0,1.0,0.2,5.0,1.0,1.3547496738148352,1.3547496738148352,1.3547496738148352,421.0023866348448,481.14558472553693
2021-12-01,2021-12,3.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
2022-01-01,0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0
2022-02-01,2022-2,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2022-03-01,2022-3,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2022-04-01,2022-4,12.0,0.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0
2022-05-01,2022-5,3.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
2022-06-01,0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0
2022-07-01,2022-7,3.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
2022-08-01,0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0
2022-09-01,2022-9,4.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
2022-10-01,0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0
2022-11-01,0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0
2022-12-01,2022-12,1.0,1.0,1.0,1.0,1.0,6.773748369074176,6.773748369074176,6.773748369074176,2105.011933174224,2405.7279236276845
2023-01-01,2023-1,2.0,1.0,0.5,2.0,1.0,3.386874184537088,3.386874184537088,3.386874184537088,1052.505966587112,1202.8639618138423
2023-02-01,2023-2,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
2023-03-01,0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0
2023-04-01,0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0
2023-05-01,2023-5,4.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
2023-06-01,0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0
2023-07-01,2023-7,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
2023-08-01,0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0
2023-09-01,2023-9,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
2023-10-01,2023-10,3.0,1.0,0.3333333333333333,3.0,1.0,2.2579161230247253,2.2579161230247253,2.2579161230247253,701.670644391408,801.9093078758949
2023-11-01,2023-11,3.0,1.0,0.3333333333333333,3.0,1.0,2.2579161230247253,2.2579161230247253,2.2579161230247253,701.670644391408,801.9093078758949
2023-12-01,0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0
2024-01-01,2024-1,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,2024-2,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
2024-03-01,2024-3,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,2024-4,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
