,date,ym,daily_posts_news_count,daily_posts_epu_count,daily_posts_ratio,vanuatu_abc_news_count,vanuatu_abc_epu_count,vanuatu_abc_ratio,vbr_news_count,vbr_epu_count,vbr_ratio,news_total,daily_posts_weights,vanuatu_abc_weights,vbr_weights,daily_posts_z_score,vanuatu_abc_z_score,vbr_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted
0,2015-01-01,2015-1,201,5,0.024875621890547265,2.0,0.0,0.0,0.0,0.0,0.0,203.0,0.9901477832512315,0.009852216748768473,0.0,1.6907960925337222,0.0,0.0,0.5635986975112407,1.6741380029521091,172.55652821574583,73.4605583741613
1,2015-02-01,2015-2,254,3,0.011811023622047244,0.0,0.0,0.0,0.0,0.0,0.0,254.0,1.0,0.0,0.0,0.8027953100770351,0.0,0.0,0.267598436692345,0.8027953100770351,82.74561077432223,34.87930448788918
2,2015-03-01,2015-3,299,3,0.010033444816053512,59.0,4.0,0.06779661016949153,0.0,0.0,0.0,358.0,0.835195530726257,0.164804469273743,0.0,0.6819732734433676,0.37600826766743306,0.0,0.35266051370360024,0.6315488730501269,65.09492093240186,45.9664622497967
3,2015-04-01,2015-4,274,4,0.014598540145985401,11.0,0.0,0.0,0.0,0.0,0.0,285.0,0.9614035087719298,0.03859649122807018,0.0,0.9922628163482574,0.0,0.0,0.3307542721160858,0.9539649532611317,98.32694800784957,43.11115980498225
4,2015-05-01,2015-5,263,11,0.04182509505703422,5.0,0.0,0.0,0.0,0.0,0.0,268.0,0.9813432835820896,0.018656716417910446,0.0,2.8428518331498553,0.0,0.0,0.9476172777166184,2.789813552680642,287.55128918340336,123.51429244507271
5,2015-06-01,2015-6,285,13,0.0456140350877193,4.0,0.0,0.0,0.0,0.0,0.0,289.0,0.986159169550173,0.01384083044982699,0.0,3.1003860980986784,0.0,0.0,1.0334620326995594,3.0574741797858938,315.1395695234279,134.7034659871463
6,2015-07-01,2015-7,304,6,0.019736842105263157,9.0,0.0,0.0,0.0,0.0,0.0,313.0,0.9712460063897763,0.02875399361022364,0.0,1.3415132155234664,0.0,0.0,0.44717107184115545,1.302939353096274,134.29639064969868,58.2851535521306
7,2015-08-01,2015-8,245,8,0.0326530612244898,0.0,0.0,0.0,0.0,0.0,0.0,245.0,1.0,0.0,0.0,2.2194286667707965,0.0,0.0,0.7398095555902655,2.2194286667707965,228.76065454887453,96.42822682910317
8,2015-09-01,2015-9,289,5,0.01730103806228374,6.0,0.0,0.0,0.0,0.0,0.0,295.0,0.9796610169491525,0.020338983050847456,0.0,1.1759516076099592,0.0,0.0,0.39198386920331973,1.1520339477941635,118.74228890778446,51.09194544362084
9,2015-10-01,2015-10,265,10,0.03773584905660377,9.0,0.0,0.0,0.0,0.0,0.0,274.0,0.9671532846715328,0.032846715328467155,0.0,2.56490577056059,0.0,0.0,0.8549685901868633,2.4806570408706436,255.685950567857,111.43828100533148
